,date,contents,city,city_in_disaster
0,2021-03-15T19:31:26.000Z,Check on your homies today.,nashville,0
1,2021-03-15T19:08:41.000Z,"For those #unmatched, let me tell you about my friend. Molly didn’t match. Match day seriously sucked. A year later, she matched! No one knew or cared that she didn’t match the year prior. She spent a year traveling & doing research. She is now an 
 doctor 1/2",nashville,0
2,2021-03-15T20:19:50.000Z,"Bank account: +$1400
Me at Jeni’s: Bring me Jeni",nashville,0
3,2021-03-16T21:45:33.000Z,"Can you imagine anyone tolerating an issue for 18+ years? Patient today has had HEAVY menstrual bleeding for 18 yrs, improved only during pregnancies. Transfusions monthly. The things women put up with that no one else would deal with 
 #OBGYNtwitter #MedTwitter",nashville,0
4,2021-03-16T14:41:12.000Z,"“15 days to slow the spread,” they told us one year ago today.",nashville,0
5,2021-03-15T16:41:21.000Z,Call me Stimmy Turner cuz it's fairly odd how I ain't got this check yet ,nashville,0
6,2021-03-16T03:54:24.000Z,"In one month from today, all roads will lead to Starkville, MS",nashville,0
7,2021-03-16T02:04:55.000Z,"Watching the Preds game on DVR. That Tolvanen goal was an absolute LASER. This kid is growing up right before our eyes this season. 
#Preds
 #Predators #NSHvsTBL",nashville,0
8,2021-03-16T03:19:50.000Z,This stimmy check has me acting deferent I just put diesel in my car ,nashville,0
9,2021-03-16T16:09:46.000Z,It’s outrageous how early fast food places stop serving breakfast,nashville,0
10,2021-03-16T16:05:21.000Z,“Boom Clap” by Charli XCX is in fact older than Gay Marriage in the U.S.,nashville,0
11,2021-03-16T20:41:04.000Z,Sure would be swell to have a first round right tackle...,nashville,0
12,2021-03-15T18:56:57.000Z,anybody else feels unbearably tired ?,nashville,0
13,2021-03-15T04:04:23.000Z,"direct deposit: 1400 
Me at the gas station: hi I’d like to buy Saudi Arabia",nashville,0
14,2021-03-16T14:46:05.000Z,"Secured my summer internship with the U.S. Department of Treasury 
 Nothing but blessings ",nashville,0
15,2021-03-15T16:05:59.000Z,officially an senior in college . if nobody proud of me i’m definitely proud of MYSELF ,nashville,0
16,2021-03-16T14:46:57.000Z,lil nas x if you’re reading this i hope you’re having a great day king,nashville,0
17,2021-03-16T02:48:49.000Z,"Dr.Seuss gets canceled, WAP is on the Grammys, and we still don’t know who is in charge of the country. But Bill Burr is racist while his wife is sitting next to him. But hey, Biden won!",nashville,0
36,2021-03-16T01:54:38.000Z,"once i’ve been brought out of character to physically put my hands on you, whatever relationship we had is gone ",nashville,0
37,2021-03-15T20:30:39.000Z,"Florida. You’re up! 

Orlando this weekend Friday - Sunday 

Fort Lauderdale Monday - Tuesday 

#PuntFactory",nashville,0
0,2021-03-16T16:06:44.000Z,Many shops in Lebanon have closed in #Lebanon as they are unable to price their products due to the rapid devaluation of the Lebanese lira.,beirut,0
1,2021-03-15T21:19:01.000Z,If your girl online on clubhouse but not in a room. Focus on yourself king,beirut,0
2,2021-03-15T17:54:07.000Z,I killed a man but I am not a murderer - Soghomon Tehlirian when he assassinated Taliat Pasha 100 years ago today. #ArmenianGenocide,beirut,0
3,2021-03-15T13:03:08.000Z,"#advertising doesn’t exist to make you buy a product right away; it exists to embed subtle impressions that will drive #sales later. 

#DigitalMarketing #ecommerce",beirut,0
4,2021-03-16T22:23:42.000Z,We haven’t had one good day in 2021!,beirut,0
5,2021-03-16T07:59:44.000Z,“There can be no darker or more devastating tragedy than the death of man’s faith in himself and in his power to direct his future .”,beirut,0
6,2021-03-15T13:26:47.000Z,"“Why Nations Fail: The Origins of Power, Prosperity, and Poverty” #whynationsfail",beirut,0
7,2021-03-16T12:18:47.000Z,Staying updated on the news has become a full-time job in #Lebanon. And you can’t even take a break because it affects your everyday life. Money is suddenly worth 50% less than last week —> update your shopping list. Electricity cuts? Charge all the things! Roadblocks? Reroute.,beirut,0
8,2021-03-16T16:09:49.000Z,Would anyone like to tell me anything before we sink into more dispear ,beirut,0
9,2021-03-15T23:16:18.000Z,cant handle “stars” taking advantage of people’s misery for their own agendas anymore.,beirut,0
10,2021-03-16T16:19:25.000Z,"On the occasion of World Social Workers day, we should all thank recognize the efforts that they are doing to support vulnerable people and particularly #children and in addressing #ViolenceAgainstWomen
#WSWD2021",beirut,0
