,date,contents,city,city_in_disaster
0,2021-02-16T00:58:18.000Z,"Finally! I already lodged my application. Lord, ikaw na pong bahala. ",christchurch,0
1,2021-02-16T18:56:26.000Z,"Help me to study and pray in preparation and, when that day comes, help me to convey the message of hope in gentleness and reverence. Amen.",christchurch,0
2,2021-02-15T12:36:35.000Z,"Super early MPL Season 7 predictions: 

Final Four: BREN, EXE, OMG, TWC
Next Four: AURA, BLCK, ONIC, LPE
Relegated: CIG, NXP 

Sorry Solid fans. #MPL",christchurch,0
3,2021-02-16T01:19:00.000Z,"Me cleaning the outside window with a risk of falling from 2nd floor

Mrs Stanbury : You are not allowed to fall down. 

Me : ",christchurch,0
4,2021-02-16T05:58:52.000Z,"Shit that Australian PM is a despicable arsehole,,,",christchurch,0
5,2021-02-16T06:01:38.000Z,"i dont care how long this lasts for, but dont worry i wont go anywhere",christchurch,0
6,2021-02-16T18:56:14.000Z,"Father, I ask You to make me ready to tell people why I believe. Give me boldness to defend the hope in my heart and tell other people about the source of my hope.",christchurch,0
7,2021-02-16T18:44:47.000Z,"Today's Bible Verse
The fear of the LORD teaches a man wisdom, and humility comes before honor.Proverbs 15:33
        (Read all of Proverbs 15:33)New International Version",christchurch,0
8,2021-02-15T06:25:18.000Z,i just don't care about it anymore,christchurch,0
9,2021-02-16T22:26:53.000Z,Sitting in the mall and doing some work whilst trying not to go window shopping is hard ,christchurch,0
10,2021-02-15T20:17:13.000Z,Decided to try a vegan protein powder.....I haven’t had something so bad in my mouth for quite a while ,christchurch,0
11,2021-02-15T21:56:25.000Z,Good thing takes time,christchurch,0
12,2021-02-16T21:03:26.000Z,"Australia goes in an out of lockdown.
Mike Hosking: Australian government has got this! NZ should be more like Australia.
Auckland goes into lockdown for 3 days. 
Also Mike Hosking: Useless NZ government! They learnt nothing in 12 months.
How does he still have a platform?",christchurch,0
13,2021-02-15T20:18:27.000Z,"Has anyone told 
@NZNationalParty
 and 
@dbseymour
 that barking at every passing car is a bit like the boy who cried wolf? #nzpol",christchurch,0
14,2021-02-15T21:43:03.000Z,I think i just did something crazy,christchurch,0
15,2021-02-15T17:07:11.000Z,"Only in New Zealand: First vaccines are here, everyone in #NZ will get one regardless their visa status. #COVID19Vaccine #NewZealand #Thankyou 
@jacindaardern",christchurch,0
32,2021-02-15T08:18:56.000Z,Confused,christchurch,0
33,2021-02-16T02:50:15.000Z,For Valentine's day someone has put together a video of dotard and mail order bride kissing each other. Different clips put together ,christchurch,0
34,2021-02-16T02:41:45.000Z,Love Apple? Ipad is driving me crazy I want one now,christchurch,0
35,2021-02-16T07:00:17.000Z,"Er, there's a crowd in Chennai...",christchurch,0
85,2021-02-16T09:47:58.000Z,Pain demands to be felt.,christchurch,0
86,2021-02-16T06:11:20.000Z,l am FULLY against the sentiment that we don’t owe anybody anything. We owe people common decency. We owe people respect if it has been given to us. We owe people apologies & explanations when we hurt them.,christchurch,0
87,2021-02-16T06:17:09.000Z,"Oh my gosh Andrew Baylie is locked up in the Waikato, good thing 
 watching CNN now ....",christchurch,0
88,2021-02-16T07:17:28.000Z,"Congratulations India, great win over England....",christchurch,0
89,2021-02-15T20:48:16.000Z,"This is terrible from Newcastle, what is this formation from Bruce? Hasn’t got a clue 
 #nufc",christchurch,0
90,2021-02-16T03:34:07.000Z," message just came through from wife. Our toilet training 2yr old just 
 while jumping on the trampoline. ",christchurch,0
91,2021-02-16T07:16:20.000Z,"Just watching the 1pm briefing, gutted to hear of a Covid death and thoughts/prayers with the whãnau 
.",christchurch,0
92,2021-02-16T23:58:39.000Z,"Getting my memorial tattoo for my baby boy today and what start playing over there sound system but Truly madly deeply
@BestiesITW
 @MatFitchett
 @PandaBearVega",christchurch,0
93,2021-02-16T06:55:45.000Z,"Shout to 
@BREWPubRotorua
 for doing such an excellent job of hosting us last night despite level 2 and still suffering the total lack of international tourist income. Our waitress was super friendly. The place was a bit quiet after the busy weekend, so if you're in Rotorua go ",christchurch,0
94,2021-02-15T22:42:08.000Z,adult acne can go to hell,christchurch,0
95,2021-02-15T05:36:28.000Z,"Bacon Brothers burgers with incredible customer service!

Wrong burger delivered but no hesitation in a full refund and re-delivery. 

Definitely my new go to Burger joint.",christchurch,0
96,2021-02-16T04:49:40.000Z,Just checking that a bucket of a KFC is always appropriate for a pot luck dinner eh?,christchurch,0
97,2021-02-16T01:40:18.000Z,"Enjoyed first 
@TwitterSpaces
 experience from a product geek POV & feels super useful/relevant to in app experience... the content was a bit 
due to organizer exercising/walking was distracted/noisy. When 
 permits, can see myself jumping into spaces vs doom scrolling",christchurch,0
98,2021-02-16T06:08:35.000Z,"i know we are only in level 2 down here but fuck man, i haven’t seen literally anyone else wearing a mask in this Countdown lol",christchurch,0
99,2021-02-16T07:53:01.000Z,i’ve got 25mins left of Alien to go and i stg if they leave the fucking cat behind i’m giving this movie 1 star on letterboxd,christchurch,0
0,2021-02-16T07:33:10.000Z,Teach me how to fly with the angels like you,nashville,0
1,2021-02-15T20:54:42.000Z,heavily focused on self care and growth this year,nashville,0
2,2021-02-16T22:50:50.000Z,what is joe biden’s plan to stop people who thrift solely to resell on depop,nashville,0
3,2021-02-16T01:07:27.000Z,the mean girl vibes on this season are just not it. truly a disappointment to watch. #TheBachelorABC #thebachelor,nashville,0
4,2021-02-16T03:05:51.000Z,Rachael’s parents sound and look exactly how I pictured them to look and sound #TheBachelor,nashville,0
5,2021-02-16T20:14:42.000Z,Why is my refund still in my bannerrrrr ,nashville,0
6,2021-02-16T20:21:28.000Z,ik y’all don’t like B Simone but she was speaking facts lol.,nashville,0
7,2021-02-16T06:51:52.000Z,The fact that Tennessee still hasn’t gotten these roads and it’s still snow on em??? BABYYYY…Ohio would NEVAAAA,nashville,0
8,2021-02-16T20:41:33.000Z,"Fun Fact, Perry Wallace, the first black basketball player in the SEC (Vanderbilt) , coached Kobe Bryant’s Dad. Nice.",nashville,0
9,2021-02-16T22:03:24.000Z,Walking to Publix in an ice storm because my current snacks are boring me,nashville,0
10,2021-02-15T23:20:01.000Z,My price really about to go up,nashville,0
11,2021-02-16T04:08:28.000Z,If it’s fina be another Ice Age just say that. Texas is one of the hottest states in America. Why tf is it under a Winter Storm warning? ,nashville,0
12,2021-02-15T02:33:58.000Z,The fact that every food place in Nashville closes at 6 is upsetting.,nashville,0
13,2021-02-16T20:49:59.000Z,Kehlani if you read this I’m free on Thursday night and would like to hangout. Please respond to this and then hang out with me on Thursday night when I’m free.,nashville,0
14,2021-02-15T21:27:00.000Z,If you don’t like this weather you got something wrong with you,nashville,0
15,2021-02-16T19:08:00.000Z,Them talks w god & prayer really does work !!!!,nashville,0
16,2021-02-16T15:52:14.000Z,"I suggest that everyone in Nashville take their car keys, drop them in a glass of water and place them on your outside porch. When you can retrieve them, you can drive again.",nashville,0
17,2021-02-16T15:39:39.000Z,"Can’t the #Stars  and #Preds
 skate over and knock out today’s game in the Cotton Bowl?",nashville,0
18,2021-02-16T21:39:11.000Z,Just rode with somebody who deadass hotboxed 4 cigarettes.....who be raising these niggas,nashville,0
19,2021-02-16T20:37:31.000Z,Snow covered Nashville makes me so happy. Feels like home. ,nashville,0
78,2021-02-16T19:24:38.000Z,Muscadine Bloodline just followed you!,nashville,0
79,2021-02-15T00:30:50.000Z,I’m cold.,nashville,0
80,2021-02-16T18:00:51.000Z,All we have is everyday.,nashville,0
81,2021-02-16T01:21:35.000Z,"I hate how quarantine has made me use social media more often than I’d like to admit because it just takes away from all the cool things I could be putting my attention towards, rather than aimlessly scrolling and reading all of the stupid shit people post every single day",nashville,0
82,2021-02-15T18:00:06.000Z,Sometimes I open the freezer and eggos jus ain’t there and that’s life I guess ,nashville,0
83,2021-02-15T05:59:22.000Z,It’s snowing in the bnb,nashville,0
84,2021-02-16T16:36:31.000Z,Just braved the ice to make this record. Work harder ,nashville,0
85,2021-02-16T18:27:02.000Z,Nothing Jon Robinson said about Isaiah Wilson just now indicates that he’s not sick of the situation. This dude isn’t anywhere close to secure in his position #Titans,nashville,0
86,2021-02-15T19:11:14.000Z,#Titans GM Jon Robinson is holding media availability tomorrow at 12:15.,nashville,0
87,2021-02-15T23:25:59.000Z,Dropped a new YouTube video. Go gas it.,nashville,0
88,2021-02-16T04:10:00.000Z,I take the NCLEX on Wednesday and I can’t leave my apartment complex due to the ice and living on a hill. How the hail am I going to get there,nashville,0
89,2021-02-16T18:21:22.000Z,Robinson on JJ Watt: We’ve had some contact...it’s early in the stages,nashville,0
90,2021-02-15T00:05:07.000Z,fuck.,nashville,0
91,2021-02-15T18:17:20.000Z,I hope I get so cold on this walk that my nipples stay hard forever,nashville,0
92,2021-02-15T15:43:31.000Z,Someone in Nashville bring us a zip,nashville,0
93,2021-02-15T20:45:34.000Z,Seemingly random time for a Jon Robinson presser makes me think something is going to happen between now and tomorrow at noon. What else is there to talk about right now? Vrabel would have been the guy to talk to about the coordinator promotions.,nashville,0
94,2021-02-15T07:55:08.000Z,That constant “life’s a race” feeling subdued about a month or so ago and I couldn’t be more thankful,nashville,0
116,2021-02-16T18:43:39.000Z,"Robinson: We had same conversation with pending FAs that we had with Jack Conklin. We will be competitive, but at the end of the day you'll have a decision to make if you have suitors. They’ve done everything we’ve asked of them while they were here",nashville,0
117,2021-02-16T15:21:57.000Z,"Why would you not watch movies made before 1975? That means you can't watch The Godfather and The Godfather Part II, but you can watch The Godfather Part III.",nashville,0
118,2021-02-16T18:12:36.000Z,Bruh tried to call out of work at Enterprise and they came and picked him up,nashville,0
171,2021-02-15T19:02:44.000Z,#Titans GM Jon Robinson will have a media availability tomorrow at 12:15,nashville,0
172,2021-02-16T22:13:53.000Z,God got my father through his spinal surgery today and that’s all that matters .. so I am very grateful to the most high right now .,nashville,0
173,2021-02-16T14:22:45.000Z,"When we got snowed in freshman year , that was the best time ",nashville,0
174,2021-02-16T18:30:42.000Z,Salsa verde over salsa roja.. this is not up for debate,nashville,0
175,2021-02-16T21:07:07.000Z,Franklin Saint is easily my favorite fictional person of all time,nashville,0
176,2021-02-16T05:09:56.000Z,i just want my mf refund check ,nashville,0
177,2021-02-16T19:55:00.000Z,Jon Robinson sure sounded like a guy who was ready to be out of the Isaiah Wilson business in that press conference.,nashville,0
178,2021-02-15T23:52:48.000Z,Got stuck in the snow twice in an hour. Folk pulled over both times & pushed me out. It’s some good ppl out here. ,nashville,0
179,2021-02-16T00:39:30.000Z,"If this power go out, I’m gon make sure everybody has a terrible day.",nashville,0
180,2021-02-16T05:40:43.000Z,did I really need to consume copious amounts of butter and bacon fat at 11 pm ? No but we’re the biscuits n gravy gonna make themselves? Also no. Sometimes we do what we have to not what we need to,nashville,0
181,2021-02-15T21:09:14.000Z,"For those not in Nashville, This is not a snow storm it’s an ice storm...  big difference. Im from Northeast Ohio. Things arent safe here.",nashville,0
182,2021-02-16T18:22:46.000Z,Jon Robinson says he has not spoken to RT Isaiah Wilson since placing him on NFI,nashville,0
183,2021-02-16T04:56:40.000Z,"Like many people, I had a fall today.

Unlike many people, it was down the stairs that are inside my house. 
(I’m fine. The irony was just too much not to share.)",nashville,0
184,2021-02-16T22:42:58.000Z,Adam Sandler is a perfect example of someone that I love so much but hate their movies with a burning passion,nashville,0
185,2021-02-16T05:33:30.000Z,Today made me realize winter warnings aren’t just because of the intensity of Mother Nature but also the incompetency of man.,nashville,0
186,2021-02-16T20:55:45.000Z,Once again pouring myself into historical dramas to forget the era I currently live in,nashville,0
187,2021-02-15T18:33:43.000Z,Fisk we doing the retool your school thing this year? Or we done?,nashville,0
188,2021-02-16T01:05:37.000Z,Since it hates my PC I'm just gonna finish Divinity on my own time on Switch. Still baffling that Baulders Gate 3 runs flawlessly by Divinity OS2 poops itself when they're both Larian.,nashville,0
210,2021-02-16T16:46:28.000Z,We are stuck at home again but this time it’s because there’s so much snow outside!,nashville,0
211,2021-02-16T23:50:49.000Z,It still baffles me that people just have ice scrapers on standby,nashville,0
245,2021-02-16T18:23:51.000Z,thinking about how when i was a kid there was this radio station in detroit (96.3?) that played “all the hits without the rap” and they literally censored sugar ray’s “fly” so that it didn’t have the “rap” part of the song. anyone else remember this?,nashville,0
246,2021-02-15T02:55:02.000Z,"Haven’t watched the #DAYTONA500  from my own couch since 2005.   I won’t miss the 38 race cup grind but do miss going to 
@DAYTONA
 for #speedweeks. As a kid Daytona always had an energy that I felt and still had it the last time I was there",nashville,0
247,2021-02-16T20:25:25.000Z,"Happy Birthday, 
@kiwiallday39
! I hope you feel loved and worthy today....because you are both! ",nashville,0
248,2021-02-16T00:07:45.000Z,Just realized it’s only Monday... pain,nashville,0
249,2021-02-16T18:50:40.000Z,"“why lay in a twin xl when you can come lay in a queen” sir... all you did was push them xl’s together, leave me alone",nashville,0
250,2021-02-16T20:18:09.000Z,"My new job is in a completely different industry (not the financial industry, like my last job) and I am so SO thankful that I now deal with people that have companies like axe-throwing, horse trail-riding, zip-lining, fly-fishing, etc. They are so much more pleasant.",nashville,0
251,2021-02-16T17:19:21.000Z,"I’m going to take a couple of days off this week. No, there’s nothing wrong, I just want to take some time to do some writing and pick on my husband. 
See everyone on Thursday!
Loves and kisses!!!!",nashville,0
252,2021-02-16T17:56:08.000Z,Snow is cool to look at but put me on a damn beach right now with a giant margarita plz. ,nashville,0
253,2021-02-16T20:51:56.000Z,"So who’s going to be the brave one and call it? 
@MetroSchools
 5th and 9th grade ain’t going back until Monday",nashville,0
273,2021-02-16T22:41:59.000Z,"So the TN General Assembly is closed until next week, what happened to all those folks who refused to live in fear?",nashville,0
274,2021-02-16T18:04:54.000Z,"Per the advice of the wise woman 
@annkpowers
, I’m glad I took a shower before Nashville possibly loses power. Y’all do the same.",nashville,0
275,2021-02-16T00:07:59.000Z,"May I please get 2 followers to copy and re-post this tweet? I'm trying to demonstrate that someone is always listening.

#SuicidePrevention  
1-800-273-8255

Just two. Any two. Copy, not retweet.
@MarkRobsonMD",nashville,0
294,2021-02-15T17:39:47.000Z,Stranded in Nashville,nashville,0
295,2021-02-16T22:56:31.000Z,"King Cake is a lie. 

It's not a cake at all, it's a pastry.",nashville,0
296,2021-02-15T14:18:00.000Z,"If God would not allow anyone to kill Cain as punishment for the first murder, why would we seek the death penalty for any subsequent murder?",nashville,0
297,2021-02-16T21:55:16.000Z,I’m still seeing “friends” supporting One Fantastic Week. Are memories really that short?,nashville,0
316,2021-02-16T10:38:15.000Z,Waking up with anxiety is my jam.,nashville,0
317,2021-02-15T16:19:10.000Z,Be honest.. Am I a quirked up baddie ?!,nashville,0
318,2021-02-15T20:47:21.000Z,"Morning sex, layers of comfy clothes, Indica, ramen, and cuddling up to bingewatch Modern Family on Hulu is my ideal way to spend a Snow Day. 

How do y’all like to spend your Snow Days?",nashville,0
319,2021-02-16T23:36:14.000Z,"Per White House: President Biden talked to the governors of states impacted by severe winter weather, including TN 
@GovBillLee
.

""Biden reiterated to all the governors that his Administration is prepared to assist and stands ready to respond to requests for Federal assistance.""",nashville,0
0,2021-02-16T23:59:50.000Z,The fact that Aether is canonically like 10x more powerful than the way we get him at the start of the game is so *chefs kiss*,fukishama,0
1,2021-02-16T23:59:52.000Z,#OprahWinfreyTaughtMe how to get a free car,fukishama,0
2,2021-02-16T23:59:51.000Z,Imagine the content coming out of Jake and Logan together,fukishama,0
3,2021-02-16T23:59:52.000Z,when the clock hits 7pm its depression time,fukishama,0
4,2021-02-16T23:59:53.000Z,I wish my family weren’t a bunch of hoes I wanna go to a wedding ,fukishama,0
