,Unnamed: 0,date,contents,city,city_in_disaster,target
0,0,2021-02-16T00:58:18.000Z,"Finally! I already lodged my application. Lord, ikaw na pong bahala. ",christchurch,0,0
1,1,2021-02-16T18:56:26.000Z,"Help me to study and pray in preparation and, when that day comes, help me to convey the message of hope in gentleness and reverence. Amen.",christchurch,0,0
2,2,2021-02-15T12:36:35.000Z,"Super early MPL Season 7 predictions: 

Final Four: BREN, EXE, OMG, TWC
Next Four: AURA, BLCK, ONIC, LPE
Relegated: CIG, NXP 

Sorry Solid fans. #MPL",christchurch,0,0
3,3,2021-02-16T01:19:00.000Z,"Me cleaning the outside window with a risk of falling from 2nd floor

Mrs Stanbury : You are not allowed to fall down. 

Me : ",christchurch,0,0
4,4,2021-02-16T05:58:52.000Z,"Shit that Australian PM is a despicable arsehole,,,",christchurch,0,0
5,5,2021-02-16T06:01:38.000Z,"i dont care how long this lasts for, but dont worry i wont go anywhere",christchurch,0,0
6,6,2021-02-16T18:56:14.000Z,"Father, I ask You to make me ready to tell people why I believe. Give me boldness to defend the hope in my heart and tell other people about the source of my hope.",christchurch,0,0
7,7,2021-02-16T18:44:47.000Z,"Today's Bible Verse
The fear of the LORD teaches a man wisdom, and humility comes before honor.Proverbs 15:33
        (Read all of Proverbs 15:33)New International Version",christchurch,0,0
8,8,2021-02-15T06:25:18.000Z,i just don't care about it anymore,christchurch,0,0
9,9,2021-02-16T22:26:53.000Z,Sitting in the mall and doing some work whilst trying not to go window shopping is hard ,christchurch,0,0
10,10,2021-02-15T20:17:13.000Z,Decided to try a vegan protein powder.....I haven’t had something so bad in my mouth for quite a while ,christchurch,0,0
11,11,2021-02-15T21:56:25.000Z,Good thing takes time,christchurch,0,0
12,12,2021-02-16T21:03:26.000Z,"Australia goes in an out of lockdown.
Mike Hosking: Australian government has got this! NZ should be more like Australia.
Auckland goes into lockdown for 3 days. 
Also Mike Hosking: Useless NZ government! They learnt nothing in 12 months.
How does he still have a platform?",christchurch,0,1
