,Unnamed: 0,date,contents,city,city_in_disaster,target
0,0,2020-08-04T20:46:52.000Z,Thoughts go out to the people of #Beirut.,christchurch,0,0
1,1,2020-08-04T02:19:46.000Z,"Did I miss the memo about 
@JudithCollinsMP
 joining the 
@nzlabour
 campaign team. #nzpol",christchurch,0,0
2,2,2020-08-03T13:34:13.000Z,Damn can't stop listening to Rain's Love story. Dman seki iconic track,christchurch,0,0
3,3,2020-08-04T19:34:38.000Z,I had a dream Christchurch had a earthquake so bad our house got turned upside down,christchurch,0,1
4,4,2020-08-04T21:36:21.000Z,"When it comes down to it, all words originate from the heart. As Jesus said, ""Out of the abundance of the heart the mouth speaks"" (Matthew 12:34).",christchurch,0,0
5,5,2020-08-04T08:42:23.000Z,Didn’t know girls use “codes” to their friends when they’re date is going well or not hahaha,christchurch,0,0
6,6,2020-08-03T16:21:21.000Z,"Its a new day 
  #ichooseme",christchurch,0,0
7,7,2020-08-03T12:12:48.000Z,You’re just a waste of time.,christchurch,0,0
8,8,2020-08-04T21:36:34.000Z,"So when my mom washed out my mouth with soap, it didn't cure the deeper problem. Words are an outward gauge of what's going on inside you. So what do yours say about you?
In His strong love,",christchurch,0,0
9,9,2020-08-04T17:29:18.000Z,Things can only get better from here,christchurch,0,0
10,10,2020-08-04T21:36:11.000Z,"As Solomon wrote in Proverbs 27:6, ""Faithful are the wounds of a friend, but the kisses of an enemy are deceitful."" If you want to be a true friend, you'll hold your friends accountable.",christchurch,0,0
11,11,2020-08-04T08:18:49.000Z,Sky diving is truly something else.,christchurch,0,0
12,12,2020-08-04T19:44:31.000Z,"Incredible and tragic scenes in Beirut. The sheer physical forces and heat involved. Praying for those fighting for life, injured and missing and their loved ones.",christchurch,0,1
13,13,2020-08-03T05:03:39.000Z,unpopular opinion (mainly for americans i think): ramen is fookin disgusting,christchurch,0,0
14,14,2020-08-03T23:01:47.000Z,"Arriving in New Zealand yesterday to a genuinely managed 14 day quarantine is humbling after living in the USA. It clearly is ‘Team New Zealand’ vs the ‘virus’. Not Republicans vs Democrats. Humans are more important than politics. #loveNZ #staysafe  
@jacindaardern
 @KarangaGlobal",christchurch,0,1
15,15,2020-08-04T00:33:01.000Z,"Took up a Covid surveillance test after earlier chatting though the cold with the nurse at the GP (over the phone). Tickled, twitched, wanted to sneeze, but I did tell the nurse it was ok to enjoy doing them! 
 I rate it about a 4/10 on the comfort scale 
 #braintickle",christchurch,0,0
16,16,2020-08-04T02:29:16.000Z,I can’t cook to save my life. That’s the tea for today.,christchurch,0,0
