,date,contents,city,city_in_disaster
0,2013-04-15T19:06:34.000Z,"I had a dream last night I met Clint Eastwood... ! 
 #weirdo",christchurch,0
1,2013-04-15T10:56:43.000Z,How am I still hungry!? I must of eaten about 2 days worth of food today!,christchurch,0
2,2013-04-14T20:15:03.000Z,Two more sleeps and I will see those two beautiful people in person,christchurch,0
3,2013-04-14T19:53:15.000Z,"Always is a new day, but but... Sometimes take heaps of hours to get there.",christchurch,0
4,2013-04-15T21:43:27.000Z,Just woke up to the news of the bombings in Boston - my thoughts and prayers are with all those affected! #staystrong,christchurch,0
5,2013-04-14T09:01:27.000Z,I can feel that you are losing interest in this thing bit by bit.,christchurch,0
6,2013-04-14T08:38:26.000Z,Managed to chop half my eyebrow off! Fucck!,christchurch,0
7,2013-04-15T20:39:25.000Z,New Zealand Breaking News on the #BostonMarathon Bombings...its like being back in America except they still break for commercials.,christchurch,0
8,2013-04-15T10:46:34.000Z,"Even though we've been here for two months, I still can't believe we're in New Zealand! All because of our son Jack. Thank you Little Star!",christchurch,0
9,2013-04-15T06:33:22.000Z,On my way to Nando's #youmad?,christchurch,0
10,2013-04-15T20:44:06.000Z,Sending our thoughts and love to#Boston from New Zealand!,christchurch,0
11,2013-04-14T20:01:42.000Z,Thank you Jenny love it,christchurch,0
12,2013-04-15T23:49:34.000Z,Just saw One piece film Z !!! #epic #onepiece #opfan,christchurch,0
13,2013-04-15T06:29:08.000Z,"I despise school here, makes Dunoon Grammar look like Harvard. #arealshithole",christchurch,0
14,2013-04-15T21:04:00.000Z,Someone should teach John Key how to pronounce words correctly.,christchurch,0
15,2013-04-15T21:43:50.000Z,Thinking about those in Boston. Unreal footage coming through.,christchurch,0
16,2013-04-15T02:52:27.000Z,Nothing is going my way today. Marilah balik tido ye.,christchurch,0
17,2013-04-14T10:21:55.000Z,Listening to the voice notes  @aimeeetwittor sent me!,christchurch,0
18,2013-04-14T08:26:01.000Z,"At CHC Airport heading back for another weeks #work in #Auckland flying the only airline 
@FlyAirNZ",christchurch,0
19,2013-04-15T09:21:48.000Z,New Zealand Nando's = Shitehole. Food was decent tho..,christchurch,0
135,2013-04-15T06:37:29.000Z,Hmm toast & tea at B&B or walk to find dinner in area of Christchurch I don't know at all.,christchurch,0
136,2013-04-15T18:15:14.000Z,Brrrr!!! Cold cold!,christchurch,0
137,2013-04-15T14:00:25.000Z,#5WordsIHateToHear we aren't getting any younger!!!,christchurch,0
138,2013-04-14T06:38:29.000Z,Exceptionally long drive back from Nelson today. Must remember that next time I agree to go up there.,christchurch,0
139,2013-04-15T08:32:23.000Z,must look like i belong in #chch. stoppd 2wce on walk home by tourists #cheerycheeks,christchurch,0
140,2013-04-14T00:38:19.000Z,"Just saw you win ! 
@DaiYoshihara
  congratulations and keep it up !!!",christchurch,0
141,2013-04-14T23:53:07.000Z,Busy busy busy,christchurch,0
142,2013-04-15T09:15:11.000Z,Perhaps Susan Devoy can oversee the GCSB in her spare time as Key said there were no particular skills involved,christchurch,0
143,2013-04-15T09:25:26.000Z,"Our MTB athletes @karthur58 1st in the Masters & Dirk 1st in the Vets @ #LowveldQuest. 
@allybritnell
 1st #Emperorscasino MTB. #ProudCoach",christchurch,0
144,2013-04-15T02:39:44.000Z,Wow. Is the hospital heating linked to my phone?! As soon as I tweeted about the heat a blast of cool air shot at me from the air con vent.,christchurch,0
145,2013-04-15T00:31:32.000Z,Two more sleeps,christchurch,0
