,date,contents,city,city_in_disaster
0,2021-02-16T23:19:48.000Z,Wanna work in news? I worked a 4:00 am to 6:00 pm shift today due to the Brunswick County tornado. Did 3 live shots during the morning show & two packages for the evening. Still haven’t eaten anything today. And yet....I love it.,"""34.06923,-78.147""",1
1,2021-02-15T04:27:35.000Z,I need a spanking or a life coach or someone who can do both,"""34.06923,-78.147""",1
2,2021-02-16T05:06:58.000Z,Thunderstorms,"""34.06923,-78.147""",1
3,2021-02-16T13:45:54.000Z,"My covid test was negative, huzzah!","""34.06923,-78.147""",1
4,2021-02-16T14:28:23.000Z,Our hearts go out to all those affected by last night's tornado in Brunswick County ,"""34.06923,-78.147""",1
5,2021-02-15T18:05:04.000Z,"Totally forgot to announce my giveaway winner yesterday 
 ANNOUNCING IN A FEW","""34.06923,-78.147""",1
6,2021-02-16T13:54:48.000Z,"Let this be our prayer:

God, let me slow down today. Help me to rest and remain. Open my eyes to Your will and Your ways. May I be courageous and bold by walking in faith. Remind me that Your love fuels my love for others. In Your name, Jesus. Amen.","""34.06923,-78.147""",1
7,2021-02-16T18:18:41.000Z,"the sadness is heavy today friends, I haven’t had a day like this in weeks and I’m!!! so!!!! frustrated!!!! why is being a person so hard sometimes","""34.06923,-78.147""",1
8,2021-02-15T04:11:39.000Z,"Manifesting:

2021 will be the year that Taylor finally notices me. ","""34.06923,-78.147""",1
9,2021-02-15T19:55:26.000Z,"Was asked what my favorite flower is today, with the insinuation that I’ll be getting flowers quite soon. Just like that I’m all smiles ","""34.06923,-78.147""",1
10,2021-02-16T03:06:21.000Z,as someone who continually encourages my students to ask for extensions when they need them I’m horrendous at asking for extensions when I need them BC I DONT OFFER MYSELF THE SAME GRACE AND FOR WHAAAAT,"""34.06923,-78.147""",1
11,2021-02-15T03:43:14.000Z,"I downloaded bumble today, if anyone was wondering how my Valentine’s Day is going","""34.06923,-78.147""",1
12,2021-02-16T00:16:50.000Z,"It's cliché. But I think I might start a podcast, like people keep telling me to do.","""34.06923,-78.147""",1
24,2021-02-15T02:28:37.000Z,"happy valentines day to all my neopets I left behind, you are LOVED ","""34.06923,-78.147""",1
25,2021-02-16T02:03:03.000Z,"Watching #TyBreaker with 
@typennington
 @sabrinasoto
 on 
@hgtv
 always love Monday nights","""34.06923,-78.147""",1
26,2021-02-16T15:44:01.000Z,why the fuck would i go above and beyond for a 6 billion dollar company that pays me $8 an hour,"""34.06923,-78.147""",1
27,2021-02-16T02:08:02.000Z,"Me: I have a lot of work to get done today!

Brain: nap time","""34.06923,-78.147""",1
28,2021-02-16T20:05:44.000Z,"The work of education is learning. The purpose of education is for each young person to discover who they are, their unique gifts and how to contribute those gifts meaningfully to the world. 
@EdReimagined","""34.06923,-78.147""",1
29,2021-02-15T14:43:14.000Z,"good morning loves! drink some water, eat something yummy, TODAY IS GONNA BE GOOD.","""34.06923,-78.147""",1
30,2021-02-16T01:21:31.000Z,People want this magic elixir in building a program or a team. Key in football will forever come down to the toughness and togetherness of your team and you build that in the wt room and on the practice field. Cant help but feel robbed of that by COVID. But we are getting there.,"""34.06923,-78.147""",1
31,2021-02-15T01:22:12.000Z,Cosplay is a goal of mine. I want to get into cosplay,"""34.06923,-78.147""",1
32,2021-02-16T19:10:29.000Z,"I took a walk with my dog & baby and am now eating fruit outside w my baby 
 we love a sunny day","""34.06923,-78.147""",1
33,2021-02-15T05:50:18.000Z,"Lord, fix my heart if it’s not in the right place.","""34.06923,-78.147""",1
34,2021-02-15T03:49:22.000Z,I swear I know more Future verses than Future,"""34.06923,-78.147""",1
35,2021-02-16T18:57:24.000Z,"""I've got a plan. I wrote it down on paper.""","""34.06923,-78.147""",1
36,2021-02-15T15:53:46.000Z,"the insides of my cheeks, shredded. why do i do that","""34.06923,-78.147""",1
37,2021-02-15T04:30:09.000Z,I just remembered I still ain't get no stimmy,"""34.06923,-78.147""",1
38,2021-02-15T15:19:30.000Z,feeling a lot of positive energy incoming ,"""34.06923,-78.147""",1
39,2021-02-16T15:33:54.000Z,"So, what I’m taking away from this so far is that all babies are made by Bella Lugosi in a lab.  #uncwlgbtfilm","""34.06923,-78.147""",1
40,2021-02-16T02:46:48.000Z,"A month ago we set before our congregation the availability of pursuing equipping through #GOCertificates 
@sebts
. I am so excited that we now have 5 members engaged in this program and several more who will begin in the next few weeks! Our church will benefit, so can yours!","""34.06923,-78.147""",1
41,2021-02-16T06:06:08.000Z,I could cry right now,"""34.06923,-78.147""",1
42,2021-02-15T18:08:20.000Z,"Just finished up my All Coastal Preps teams for volleyball, cross country and swimming. I still have to get photos of all the Athletes of the Year, but I'm hoping I can start releasing the teams this weekend! Once I have a finalized schedule, I'll release it","""34.06923,-78.147""",1
43,2021-02-15T18:06:18.000Z,Ngl looking forward to the Pokémon 25th anniversary,"""34.06923,-78.147""",1
44,2021-02-15T22:58:14.000Z,I forgot to go to the damn hair store ,"""34.06923,-78.147""",1
45,2021-02-16T17:33:17.000Z,"UPDATES FOR THE WEEK
TONIGHTS GAME VS ASHLEY HS rescheduled for 
Thursday 2/18 6:00 PM

Wednesday 2/17 vs New Hanover (SR Night) 6:00 PM

Friday 2/19 at West Brunswick 5:00 PM

#GoCougars","""34.06923,-78.147""",1
46,2021-02-15T00:02:45.000Z,"Steaks, loaded baked potato, crab cakes, lobster pudding, white truffle potato’s, popcorn and Marvel movies, wonderful way to end Valentine’s day with my love ","""34.06923,-78.147""",1
47,2021-02-16T12:13:03.000Z,"I love 
@taylorswift13
 so much. ","""34.06923,-78.147""",1
48,2021-02-16T10:10:01.000Z,"Manifesting:

2021 will be the year that Taylor finally notices me. ","""34.06923,-78.147""",1
49,2021-02-16T06:34:43.000Z,Goodnight ,"""34.06923,-78.147""",1
50,2021-02-16T15:01:39.000Z,"They came up with the concept of Mint City because the primary objective of 
@CharlotteFC
 is printing money. #ChaChing","""34.06923,-78.147""",1
51,2021-02-15T00:54:26.000Z,"Team 
@MensahTamStock
 was full of hammers and they sure went out and put on a show but team 
@_VFran_
  and showed us there is a VERY bright future for women’s wrestling!!","""34.06923,-78.147""",1
