,date,contents,city,city_in_disaster
0,2019-03-15T07:56:50.000Z,"New Zealand is a young nation of immigrants. In 800 years since discovery by Polynesian settlers, we have built a community composed ~90 different ethnicities. And yet, we’re all Kiwis. Hate has no place in Aotearoa. Love to everyone in Christchurch. Kia kaha Ōtautahi ",christchurch,1
1,2019-03-15T07:36:56.000Z,"Thankyou Christchurch Police, ED Staff and all responders for your professionalism, courage, humanity and heroic acts today",christchurch,1
2,2019-03-15T02:12:50.000Z,Today is the day for New Zealand and #Christchurch to stay united in love and support for each other. And united against hate and against unnecessary guns.,christchurch,1
3,2019-03-15T05:25:54.000Z,"#lessguns #lesshate never thought I'd see gun violence in New Zealand, let alone #Christchurch. I hope we never have this again.",christchurch,1
4,2019-03-15T06:15:27.000Z,"Christchurch, this is not us. We accept all, We welcome everyone with open arms, it doesn't matter who you are. We stand together #Christchurch #standtogether #Riseabove",christchurch,1
5,2019-03-15T19:45:19.000Z,What I really love about the Muslim community here is because they will call us brothers & sisters even though they don't know us. ,christchurch,1
6,2019-03-15T23:09:48.000Z,"As Dr Sue Bagshaw said to Katherine Ryan this am, it’s important at times like this to keep up family routines and do some peaceful and relaxing stuff. Like sitting in a beautiful garden. Kate Shepherd’s house 83 Clyde Rd - is open today - a fundraiser for Chch’s youth Hub. Idea?",christchurch,1
7,2019-03-15T11:35:34.000Z,This is the first time dgr bunyi helicopter masa midnight.,christchurch,1
8,2019-03-15T09:03:20.000Z,"I am safe and okay, devastated by what happened today in our garden city 
 my heart aches for the souls lost and their families and friends... those working to protect us, God bless you ",christchurch,1
9,2019-03-15T03:33:57.000Z,Angry and sad about what's happening in #christchurch stay safe everyone and those Police officers dealing with it as well.,christchurch,1
10,2019-03-15T06:39:10.000Z,Shame to all those who supported Lauren Southern and Stefan Molyneux last year. Hate speech only grows hate. #NZMosqueShooting #Christchurch #givenothingtoracism,christchurch,1
11,2019-03-15T08:46:52.000Z,"My daughter, a nurse, just home from the hospital, after a day she would never have imagined. Her partner a policeman, on armed guard at the hospital all day and still working tonight. So proud of them.",christchurch,1
12,2019-03-15T04:25:06.000Z,"#Christchurch shooting inside a mosque , one of the worst in the history .. all #Eritrea!ns who were in the mosque are safe. Our thoughts for those who lost their loved ones.",christchurch,1
13,2019-03-15T02:30:03.000Z,"Flight leaving Christchurch cancelled, getting a rental outta here. Thoughts with the city, sad day #Christchurch",christchurch,1
14,2019-03-15T06:45:05.000Z,"I am so very proud of 
@jacindaardern
 for condemning the events of today for what they were, an act of disgusting terrorism. New Zealand is better than this. #TheyAreUs",christchurch,1
15,2019-03-15T07:43:42.000Z,"An Evil mass shooter inside a mosque at #Christchurch was streaming his shooting live. He is believed to be a white supremacy from #Australia , 40 innocent moslem prayers are dead. We stand with our muslim brothers and sisters! we strongly condemn this act.",christchurch,1
16,2019-03-15T10:28:25.000Z,My drive home felt surreal the city. Helicopters are still hovering over my house it’s all so hard to believe,christchurch,1
17,2019-03-15T21:16:24.000Z,"If you plan was to make me scared, you failed. Buy you have made me bloody angry. #ChristchurchMosqueAttack",christchurch,1
18,2019-03-15T02:53:31.000Z,Thinking of all the wonderful teachers in Christchurch who will be doing a brilliant job with lots of frightened children. #christchurch,christchurch,1
38,2019-03-15T06:52:14.000Z,A heartbreaking day in Christchurch to have an act of terror committed in our beautiful city. We stand even stronger with our city and Muslim community #kiakahaŌTAUTAHI ,christchurch,1
104,2019-03-15T09:02:45.000Z,"Shout out to the Police, army, medical people, journalists etc. Today. 
PM has been superb too",christchurch,1
105,2019-03-15T03:15:53.000Z,Fuck.,christchurch,1
106,2019-03-15T06:55:23.000Z,Just feel so sick about this man. I'm glad they've been apprehended so they can rot in jail after a couple thousand hidings.,christchurch,1
107,2019-03-15T23:00:31.000Z,"Talking on the phone with a close Muslim friend in Ōamaru, he's worried how this kind of violence will proliferate in small regional centres. All I could tell him was to be take care and be vigilant.",christchurch,1
108,2019-03-15T09:17:30.000Z,"An attack on the Mosques here is an attack on all of us. There are very good reasons immigrants, refugees and local-born kiwis alike consider New Zealand such a safe, peaceful country - and all of us are united in ensuring extremism of any kind is never going to be tolerated here",christchurch,1
109,2019-03-15T02:01:00.000Z,"All our Friday Night Cricket is cancelled for tonight, stay safe everyone",christchurch,1
110,2019-03-15T05:08:29.000Z,Have been told we are allowed to go home now. Gonna hug my whānau extra tight tonight.,christchurch,1
111,2019-03-15T20:16:20.000Z,"Waking up to sirens breaks my heart all over again today for those who wake up without loved ones
nothing but love to the muslim community",christchurch,1
112,2019-03-15T04:19:35.000Z,"Shout out to all the teachers watching over our kids and keeping them calm in this fucked up situation, especially if all the snacks have already been eaten.",christchurch,1
113,2019-03-15T02:46:04.000Z,"I'm safe in lock down at work.
Been tracking down colleagues all arvo.
Stay safe people xox",christchurch,1
114,2019-03-15T20:33:34.000Z,"Often when we talk about building social inclusivity and we take action to give expression to that, it is labelled ‘PC’ and dismissed. That has to stop. It’s a cop-out. We need to build an inclusive world where diversity is affirmed, so to snuff out the embers of terrorism",christchurch,1
115,2019-03-15T02:41:22.000Z,Central city emptying out but still lots of new police activity.  Please stay off the streets if possible until police give all clear.,christchurch,1
116,2019-03-15T22:55:30.000Z,"You know, maybe it's not about white people in Christchurch getting huffy about being called racists, maybe it's 24 hours ago the entire city was in lockdown for a terrorist emergency and 49 people are dead and everyone is jumpy as fuck.",christchurch,1
117,2019-03-15T07:42:45.000Z,"#NewZealandShooting ‘s gunman wants to keep Australia + New Zealand a white country. Also strongly believed that Whites should stay and live in Europe and likewise to Africans. Well, dude, you’re born white, in a country of Australia, the land of the Aborigines, not Europeans!",christchurch,1
118,2019-03-15T08:43:28.000Z,Fucking surreal horror that doesn’t seem real. Love>hate.,christchurch,1
119,2019-03-15T04:28:19.000Z,"Yeah, I don't really need a promoted tweet from 
@twitterAu
 for live coverage of something I'm living through, but thanks for the thought. #FFS",christchurch,1
139,2019-03-15T02:20:42.000Z,University of Canterbury and all schools in lock down. Helicopters overhead. Reports of many injured and possible deaths at two mosques - Deans Ave and Linwood Ave. So sad. Hatred at its worst. Criminals not yet reported as apprehended. #ChristchurchShooting #Christchurch,christchurch,1
140,2019-03-15T03:23:34.000Z,"Thoughts are with the families of the victims today following gunfire in Christchurch! Myself and brother are safe and sound, but the city is in lockdown and the police presence is somewhat reassuring given the circumstances! Kia Kaha Christchurch ",christchurch,1
141,2019-03-15T07:35:43.000Z,"It's 8:30pm and I'm finally home. 

At least 40 beautiful souls won't ever be going home tonight in Christchurch because of islamaphobia fuelled by hate and ignorance. 

THIS is what racism and xenophobia looks like.",christchurch,1
160,2019-03-15T22:43:34.000Z,"I'm having to block people I don't necessarily disagree with simply because I can't deal with their anger and hostility from outside. It's a very complicated and emotional situation in an already heavily traumatised city, and tbh it's not helping anything.",christchurch,1
0,2019-03-15T20:34:29.000Z,If Naz Reid’s jersey said Kentucky on it he would be a top 10 pick,nashville,0
1,2019-03-14T22:11:23.000Z,My days @ TSU are numbered.,nashville,0
2,2019-03-15T16:37:19.000Z,TWO of my ex’s tried coming back into my life this week and that’s just too much to handle for me smh,nashville,0
