,date,contents,city,city_in_disaster
0,2011-03-11T09:03:27.000Z,JAPAN-WE KNOW HOW YOU ARE FEELING-OUR PRAYERS ARE WITH YOU! #eqnz #prayforjapan,christchurch,0
1,2011-03-11T08:05:25.000Z,There's gonna be sooooo much liquefaction to deal with in Japan,christchurch,0
2,2011-03-10T15:30:15.000Z,"110310153010;ET;104688;New Zealand;0.46 million;3/10/2011 07:07 UTC;4.2 M;10 km;;;-43.55, 172.74;usc0001wpq;",christchurch,0
3,2011-03-11T08:08:11.000Z,Japan 8.9M Earthquake - unbelievable images on the news right now #eqjp,christchurch,0
4,2011-03-10T15:35:08.000Z,"ET11031015301;0;WT;4:00AM-NZDT,03/11/11,Christchurch,New Zealand;57F/14C;100%;NW at  2mph/4km/h;29.98in/1015hPa  (Steady);Mostly Cloudy;1:25",christchurch,0
5,2011-03-10T15:35:09.000Z,ET11031015301;1; PM NZDT;10:38 PM NZDT;;0;9.0;-33.6;309.7;,christchurch,0
6,2011-03-10T03:13:24.000Z,This twitter app is weird it can locate my tweets preferred the old one before I updated it,christchurch,0
7,2011-03-10T04:32:01.000Z,Off to fight traffic!!,christchurch,0
8,2011-03-10T19:18:27.000Z,Ugh.. I'm never drinking again.. Until next time I guess!,christchurch,0
9,2011-03-10T08:38:08.000Z,"So this is what an unjailbroken iPhone feels like, trying out iOS 4.3 rofl",christchurch,0
10,2011-03-11T07:34:07.000Z,Thoughts are with Japan #prayforjapan,christchurch,0
11,2011-03-10T08:45:44.000Z,#nowwatching Law Abiding Citizen,christchurch,0
12,2011-03-10T03:14:14.000Z,Omg it basically shows where I live stupid app now ppl can stalk me,christchurch,0
13,2011-03-11T09:05:27.000Z,Forget newspapers. Even news websites seem out of date nowadays. Twitter is where it's at.,christchurch,0
14,2011-03-11T02:14:32.000Z,"Man drives past our work. Pulls over, 2nd man parks next to him, gets out and punches first man several times. #eqnz madness is spreading.",christchurch,0
15,2011-03-11T08:34:13.000Z,We copy or they copy us. I lose count but enough. Barney me come stay with you in wanaka,christchurch,0
32,2011-03-10T09:04:24.000Z,Burt Hummel is an amazing father,christchurch,0
33,2011-03-11T19:02:27.000Z,"Morning world! Great nights sleep! Did I miss anything?  Oh fuck, the sky is falling??!!??  I bet KenR is to blame...",christchurch,0
34,2011-03-11T21:52:31.000Z,I haz little big planet 2!,christchurch,0
35,2011-03-11T01:44:08.000Z,Our building owners left a bag of treats in our apartment for us! Beers n such! #bagoftreats,christchurch,0
0,2011-03-11T14:21:32.000Z,So sick of natural disasters. God help us. #Japan #tsunami #earthquake,nashville,0
