,date,contents,city,city_in_disaster
0,2017-08-30T15:31:11.000Z,The Mariners are the new AL West team that’s going to help out the Cardinals non-stop.  I swear Jerry DiPoto is on the Cardinals payroll.,nashville,0
1,2017-08-30T15:34:35.000Z,Kyle Seager for Mike Leake isn’t even a good troll.  Why are people believing that?,nashville,0
2,2017-08-30T01:48:29.000Z,Way to go “Benny”,nashville,0
3,2017-08-30T17:48:18.000Z,"current weather in Nashville: clear sky, 84°F
54% humidity, wind 5mph, pressure 1016mb",nashville,0
4,2017-08-30T22:05:04.000Z,Antioch TN Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 79,nashville,0
5,2017-08-29T13:05:55.000Z,Antioch TN Tue Aug 29th AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Mostly Cloudy Lo 69,nashville,0
6,2017-08-30T22:12:10.000Z,"broken clouds -> moderate rain
temperature down 83°F -> 73°F
humidity up 58% -> 94%
wind 6mph -> 8mph",nashville,0
7,2017-08-29T13:53:28.000Z,"Overturned vehicle, right lane blocked in #Brentwood on I 65 NB between Old Hickory Blvd and Harding Pl #Nashville #traffic",nashville,0
8,2017-08-29T22:06:33.000Z,The men's bathroom in my building has been constantly flushing for potentially the last hour. Tell me again why we need automated toilets?,nashville,0
9,2017-08-30T18:20:40.000Z,"clear sky -> broken clouds
temperature down 84°F -> 83°F
humidity up 54% -> 58%
wind 5mph -> 6mph",nashville,0
10,2017-08-30T13:04:53.000Z,Antioch TN Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 80 TONIGHT T-storms Lo 69,nashville,0
11,2017-08-29T13:05:56.000Z,Cane Ridge TN Tue Aug 29th AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Mostly Cloudy Lo 69,nashville,0
12,2017-08-29T12:11:41.000Z,"Overturned vehicle, two lanes blocked in #Brentwood on I 65 NB between Old Hickory Blvd and Harding Pl #Nashville #traffic",nashville,0
26,2017-08-29T11:57:34.000Z,"Overturned vehicle, three lanes blocked in #Brentwood on I 65 NB between Old Hickory Blvd and Harding Pl #Nashville #traffic",nashville,0
27,2017-08-30T22:05:11.000Z,Nashville TN Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 79,nashville,0
28,2017-08-29T13:06:02.000Z,Nashville TN Tue Aug 29th AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Mostly Cloudy Lo 69,nashville,0
43,2017-08-30T13:05:00.000Z,Nashville TN Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 80 TONIGHT T-storms Lo 69,nashville,0
44,2017-08-30T22:05:13.000Z,Woodbine TN Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 79,nashville,0
45,2017-08-29T13:06:04.000Z,Woodbine TN Tue Aug 29th AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Mostly Cloudy Lo 69,nashville,0
59,2017-08-30T22:05:05.000Z,Cane Ridge TN Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 79,nashville,0
60,2017-08-30T13:05:02.000Z,Woodbine TN Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 80 TONIGHT T-storms Lo 69,nashville,0
61,2017-08-30T13:04:54.000Z,Cane Ridge TN Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 80 TONIGHT T-storms Lo 69,nashville,0
0,2017-08-30T16:09:47.000Z,"current weather in Beirut: broken clouds, 28°C
58% humidity, wind 3kmh, pressure 1009mb",beirut,0
1,2017-08-30T16:06:04.000Z,7:05pm: sunset,beirut,0
2,2017-08-30T21:39:52.000Z,"broken clouds -> scattered clouds
temperature down 28°C -> 27°C
humidity up 58% -> 61%
wind 3kmh -> 2kmh",beirut,0
3,2017-08-30T15:27:19.000Z,#bike #usedtobe #bones #frame #found in #lebanon #beirut #downtown #paris in #middleeast… Beiruthttps://www.instagram.com/p/BYbEWskAUYs/,beirut,0
0,2017-08-30T19:20:03.000Z,"My mom would say ""you better keep those hands soft or no man will want to hold them"" -a statement that helped perfect my eye roll. #1linewed",atlanta,0
1,2017-08-29T15:26:34.000Z,"I would have never imagined that people who you are trying to help could be so hateful. 
~ #BishopTDJakes",atlanta,0
2,2017-08-29T15:29:57.000Z,You cannot change what you will not confront. #PositiveVibesOnly,atlanta,0
3,2017-08-30T20:23:30.000Z,Yaaaaay my power is back on just in time to get ready for work,atlanta,0
4,2017-08-30T14:45:24.000Z,"If you withhold The Good News, you don’t know the Good News. #stumin #simplylovejesus #love",atlanta,0
5,2017-08-30T03:13:31.000Z,I'm trynna live like tony and die like tony,atlanta,0
6,2017-08-29T22:49:36.000Z,"22:49 NG7A (George) on W4G/CE-003 (Stone Mountain, 513m, 2pt) 10.113 cw: *[RBNHole] at K9IMM 20 WPM 13 dB SNR [RBNHOLE]",atlanta,0
7,2017-08-29T01:52:49.000Z,"Getting into cycling is expensive 
Spent so much money on kit already…",atlanta,0
8,2017-08-30T23:57:39.000Z,"moderate rain -> light rain
temperature down 72°F -> 71°F
humidity down 100% -> 94%
wind 7mph -> 6mph",atlanta,0
9,2017-08-30T20:00:54.000Z,"heavy intensity rain -> moderate rain
humidity up 94% -> 100%
wind 3mph -> 7mph",atlanta,0
10,2017-08-29T01:45:09.000Z,DragonCon!,atlanta,0
11,2017-08-29T21:03:04.000Z,Stone Mountain GA Tue Aug 29th PM Forecast: TONIGHT Chance Of Showers Lo 69 WEDNESDAY Chance Of T-Storm Hi 75,atlanta,0
12,2017-08-29T22:06:58.000Z,Disorder is the work of the Enemy.,atlanta,0
13,2017-08-30T17:38:41.000Z,"current weather in Atlanta: heavy intensity rain, 72°F
94% humidity, wind 3mph, pressure 1019mb",atlanta,0
14,2017-08-30T03:41:16.000Z,Grad photo shoot scheduled now I just need to make my makeup and hair appt.,atlanta,0
15,2017-08-30T21:02:56.000Z,Norcross GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
16,2017-08-30T13:33:54.000Z,"Don’t feel guilty for knowing the truth, standing up for the truth and living for the truth. Jesus is the TRUTH.",atlanta,0
17,2017-08-30T20:55:17.000Z,"Accident, right lane blocked in #Cobb on I 75 NB before Cumberland Blvd, stop and go traffic back to Mt Paran Rd, delay of 4 mins",atlanta,0
18,2017-08-30T20:10:00.000Z,"Accident, center lane blocked in #SouthDekalb on I 20 EB before Candler Rd, stop and go traffic back to Flat Shoals Rd, delay of 6 mins",atlanta,0
69,2017-08-30T18:08:51.000Z,The power at my complex goes out when one drop of rain hits it and this shit is getting annoying.,atlanta,0
70,2017-08-30T19:22:44.000Z,"Accident, two lanes blocked in #Atlanta on I-285 SB after Camp Crk Pkwy, stop and go traffic back to Langford Pkwy, delay of 7 mins",atlanta,0
71,2017-08-30T21:02:54.000Z,Marietta GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
72,2017-08-30T00:54:39.000Z,“the fool who gives advice about someone else’s garden is not tending his own plants.”,atlanta,0
73,2017-08-30T18:01:25.000Z,I hate the rain sometimes but it's starting to get cooler outside which means my birthday coming and Mr.November will be popping thru soon,atlanta,0
74,2017-08-30T17:06:10.000Z,I gotta get my menu together for Monday. Something small of course.,atlanta,0
75,2017-08-30T17:05:21.000Z,Life ,atlanta,0
76,2017-08-29T21:03:03.000Z,Stockbridge GA Tue Aug 29th PM Forecast: TONIGHT Chance Of Showers Lo 69 WEDNESDAY Chance Of T-Storm Hi 75,atlanta,0
77,2017-08-30T13:04:16.000Z,Lmfao RT @MolaLutherKing: lmfao Joel Osteen on CNN with a warehouse of pampers behind him,atlanta,0
78,2017-08-30T17:02:47.000Z,My life is slowing change. I miss the old me. ,atlanta,0
79,2017-08-29T23:34:25.000Z,"Let's cut through 
@AP
 management spin. Higher premiums and out-of-pocket health insurance costs are pay cuts. Period. #weareap #faircontract",atlanta,0
101,2017-08-30T13:00:17.000Z," RT 
@Nelzzzzz32
: 
@DaveeC_
 everyone’s favorite day of the week 
!!! Free the 
!!!",atlanta,0
102,2017-08-30T13:03:32.000Z,"Not even gone whale, I don't like biscuits so I was mad sleep on chic fil a chicken biscuits. These shits First team All American .",atlanta,0
137,2017-08-30T21:02:44.000Z,Decatur GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
138,2017-08-29T21:02:43.000Z,College Park GA Tue Aug 29th PM Forecast: TONIGHT Chance Of Showers Lo 69 WEDNESDAY Chance Of T-Storm Hi 75,atlanta,0
139,2017-08-29T21:02:58.000Z,Memorial Square GA Tue Aug 29th PM Forecast: TONIGHT Chance Of Showers Lo 69 WEDNESDAY Chance Of T-Storm Hi 75,atlanta,0
140,2017-08-30T12:02:37.000Z,Decatur GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
155,2017-08-30T21:03:01.000Z,Stone Mountain GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
156,2017-08-30T12:02:53.000Z,Stone Mountain GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
157,2017-08-30T21:02:50.000Z,Lilburn GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
171,2017-08-30T12:02:43.000Z,Lilburn GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
172,2017-08-30T21:02:51.000Z,Lithonia GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
173,2017-08-30T12:02:44.000Z,Lithonia GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
174,2017-08-30T21:02:41.000Z,College Park GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
175,2017-08-30T12:02:35.000Z,College Park GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
189,2017-08-30T21:02:36.000Z,Atlanta GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
190,2017-08-30T12:02:30.000Z,Atlanta GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
191,2017-08-30T21:02:55.000Z,Memorial Square GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
192,2017-08-30T21:02:46.000Z,Dunaire GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
206,2017-08-30T21:02:39.000Z,Belvedere GA Wed Aug 30th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 THURSDAY Chance Of T-Storm Hi 80,atlanta,0
207,2017-08-30T12:02:47.000Z,Memorial Square GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
208,2017-08-30T12:02:39.000Z,Dunaire GA Wed Aug 30th AM Forecast: TODAY Chance Of T-Storm Hi 75 TONIGHT Chance Of T-Storm Lo 69,atlanta,0
0,2017-08-30T23:59:59.000Z,i'm not gonna blame the liquor cause ur on my mind when i'm sober,fukishama,0
1,2017-08-30T23:59:59.000Z,"I wish I was as cool as the freshman that play music in the hallways, walk really slowly, and block the intersection.",fukishama,0
2,2017-08-30T23:59:46.000Z,In Oxford we stole frat shirts and today I had to pay $10 to ship them back bc we were caught on camera if that ain't karma idk what is,fukishama,0
3,2017-08-30T23:59:49.000Z,"The amount of love that everyone has for our community, and what we're willing to do for each other is amazing. #409strong",fukishama,0
4,2017-08-30T23:59:55.000Z,"I never quite knew the definition of snake, until today! Thanks to my ""friends"" I've learned a very important lesson!",fukishama,0
5,2017-08-30T23:59:43.000Z,"went from a flooded house to a helicopter, to a boat, now at a safe place...",fukishama,0
