,Unnamed: 0,date,contents,city,city_in_disaster,target
0,0,2011-05-21T05:23:08.000Z,Wow! Hugs and a promise to the future! #TEDxEQChCh,christchurch,0,0
1,1,2011-05-21T00:18:31.000Z,"Young hipster, Y U NO MAKE YOUR MIND UP ABOUT WHAT YOU WANT IN THE TEN MINUTES YOU WERE IN LINE?",christchurch,0,0
2,2,2011-05-21T05:12:54.000Z,Who did the food at #TEDxEQChCh ? They deserve some kudos. Can't see a credit in the programme.,christchurch,0,0
3,3,2011-05-22T21:35:59.000Z,Getting a macbook today (I hope). #fuckyeah!,christchurch,0,0
4,4,2011-05-21T23:12:46.000Z,Great start to my day..... My laptop isnt working.....,christchurch,0,0
5,5,2011-05-22T04:50:04.000Z,Just landed in Wellington all safe and sound. This tweet also sent before we get to the gate. :p,christchurch,0,0
6,6,2011-05-22T21:56:43.000Z,First day back at old work / new work. Inauspicious start with a horrible easterly and not picking the best route to new digs.,christchurch,0,0
7,7,2011-05-22T00:33:04.000Z,"Quote of the day so far.. ""I'm so happy we're going to kfc!""",christchurch,0,0
8,16,2011-05-21T06:03:51.000Z,I love this rapture business. So peaceful! #rapture,christchurch,0,0
9,17,2011-05-22T22:56:05.000Z,"QUAKE: Mag 3.1, Mon, May 23 2011 at 10:43 am (NZST), 10 km south-east of Christchurch. Depth: 5 km Error #eqnz",christchurch,0,1
10,18,2011-05-21T04:43:11.000Z,"“
@WendyDavie
: Greenies erupt at #TEDxEQChCh” Commies?",christchurch,0,0
11,19,2011-05-22T01:53:56.000Z,They're going to protest the #Wellywood sign by driving around in cars. That is so Hollywood.,christchurch,0,0
12,20,2011-05-21T12:21:46.000Z,wobble wobble #eqnz,christchurch,0,0
13,21,2011-05-22T07:51:45.000Z,"“We could never learn to be brave & patient, if there were only joys in the world. -Helen Keller” RT - awesome thought.",christchurch,0,0
14,22,2011-05-22T01:33:28.000Z,Kind of a ripply one. From the west I think. #eqnz #chch,christchurch,0,0
15,23,2011-05-22T01:40:41.000Z,Ok - west of foxton and it jiggles here? Whisky tango foxtrot! #eqnz #chch,christchurch,0,0
16,24,2011-05-22T19:22:16.000Z,I am getting a little tired of people criticizing my Facebook & Twitter posts for being repetitive... So here I am again.,christchurch,0,0
17,25,2011-05-21T09:40:16.000Z,Watching burlesque ...... :-D,christchurch,0,0
18,0,2011-05-22T13:59:16.000Z,Outdoor Encounter has finally joined Twitter! We'll keep you updated on our latest projects!,nashville,0,0
19,1,2011-05-22T19:39:11.000Z,My mom just asked me to hold her hand.... ummm #awkward lol,nashville,0,0
20,2,2011-05-22T02:12:07.000Z,"I almost cried when 
@taylorswift13
 came out and I saw how close I was!!!",nashville,0,0
21,3,2011-05-22T22:26:24.000Z,"""@Wizzle1TakeTL3: 
@LITO615
 said he Lil boosie doe O_o I almost peed on myself lmaoooooooooooooooo""=> iwus trippin wen iheard dhAT too LoL",nashville,0,0
22,4,2011-05-22T15:11:39.000Z,Good morning & happy post-Rapture Sunday to all those Left Behind! Sitting in the park enjoying a breakfast picnic w/ the hubby & the dog,nashville,0,0
