,date,contents,city,city_in_disaster
0,2013-05-19T10:51:33.000Z,wow. this game is perfectly poised. i have no idea who will win... ah! so good. #nzveng,christchurch,0
1,2013-05-20T13:37:33.000Z,"The worst thing one friend can say to the other is ""can I have a turn?"" #NotEvenKidding",christchurch,0
2,2013-05-19T07:55:46.000Z,Vanessa is working really well tonight. Great to see #MasterChefNZ,christchurch,0
3,2013-05-19T08:01:50.000Z,Oh no. Vanessa your starting to crash #MasterChefNZ,christchurch,0
4,2013-05-19T09:03:45.000Z,"NZ #xfactor is killing all the talent omg. Such bad song choices for everyone, I feel so bad for them :(",christchurch,0
5,2013-05-20T19:52:08.000Z,#corebreakfast #coreeducation Merryn and Hazel are starting now - assessment how we measure shows what we value.,christchurch,0
6,2013-05-19T11:40:14.000Z,didn't want to see you this early deano... #nzveng,christchurch,0
7,2013-05-20T11:26:24.000Z,Wish I was home to celebrate Rubie's 2nd birthday!! #sister #missinghome ,christchurch,0
8,2013-05-19T11:54:08.000Z,wow. how quickly things can change. feeling miserable now. #nzveng,christchurch,0
9,2013-05-19T20:40:24.000Z,Finally on our way home! I can't wait to be reunited with my bed! #sleepdeprived,christchurch,0
10,2013-05-19T22:09:04.000Z,Goodbye grizzlies.  The Spurs are far superior #playoffs #conferencefinals,christchurch,0
11,2013-05-20T08:14:36.000Z,All meetings should run like so: like minded people #CHECK coffee shop #CHECK food #CHECK 30mins long  #CHECK new vision #CHECK goodnight!,christchurch,0
12,2013-05-20T04:37:22.000Z,"Yup definitly a beta day today thank the lord :) ♡
♡",christchurch,0
13,2013-05-20T21:43:00.000Z,Y be so judgemental?? Were does it get u in life?,christchurch,0
14,2013-05-19T08:03:23.000Z,Love the music #MasterChefNZ,christchurch,0
15,2013-05-19T07:38:32.000Z,Arrh wat a crapy day lets hope its better 2morow :),christchurch,0
16,2013-05-19T19:41:05.000Z,Had a crazy weekend in melbourne! #melbourne2013,christchurch,0
17,2013-05-19T19:41:53.000Z,Awake for 24 hours! #zombiemode ,christchurch,0
18,2013-05-19T22:34:42.000Z,More #fog in #Chch today. I wonder if this winter will be the winter of the fog?,christchurch,0
19,2013-05-19T07:05:35.000Z,The news is 50 times more dramatic in New Zealand than at home #k2doesntkill,christchurch,0
58,2013-05-20T23:00:36.000Z,what was the last promise he did not keep?,christchurch,0
59,2013-05-20T18:41:54.000Z,Can someone tell that Sam idiot on @BreakfastonOne that it's Alexandra and not Alex #annoying #pmo #idiot #you'renotcool #pronounceproperly,christchurch,0
60,2013-05-20T05:21:44.000Z,Thanks @ red bull girls nz #Riccarton road gridlock #refreshments,christchurch,0
61,2013-05-19T06:17:35.000Z,Can't hold it in any longer.,christchurch,0
62,2013-05-19T11:01:01.000Z,What's the time in Melbourne ?,christchurch,0
63,2013-05-20T09:27:10.000Z,The M Night Shamalamadingdong twist in #XFactorNZ is that all contestants are ex-partners of the judges.,christchurch,0
64,2013-05-19T08:51:27.000Z,Stan is cringing on Daniel Bedingfields use of the words 'sanging' and 'brother'.  #xfactornz,christchurch,0
65,2013-05-19T08:50:17.000Z,The crow is going wild for Maka. What a big voice! #xfactornz,christchurch,0
66,2013-05-20T12:52:35.000Z,And now my watch begins.,christchurch,0
67,2013-05-19T22:30:20.000Z,Wahoo! The sun is out!,christchurch,0
91,2013-05-20T06:07:44.000Z,Is it even a protein shake without milk?,christchurch,0
92,2013-05-19T08:20:37.000Z,"Ball training tonight was sweeeet! Plays are working and team is gelling at last. Palmy here we come! #teamSowfEnsed 
@SNZYouth",christchurch,0
93,2013-05-20T10:39:12.000Z,"Any bitches want a piece of the mac daddy. Come show a young brother some love 
@piersmorgan
 @LanaDelRey
 #hollandwantsdemilovato",christchurch,0
94,2013-05-19T09:16:01.000Z,"Grandpa Argent and 
@billy_burke
 leading a wolf hunt on red riding hood",christchurch,0
118,2013-05-19T04:14:57.000Z,"Nervously waiting for some news, will find out in 2 days.",christchurch,0
119,2013-05-19T09:54:19.000Z,"… has new patterns from two years ago, when an avian disease hit them & decimated the population. They are now making a comeback.",christchurch,0
120,2013-05-19T09:56:24.000Z,… in urban are than those birds introduced from Britain.,christchurch,0
121,2013-05-19T15:54:49.000Z,"Wide awake, Jodi is snoring next to me and flatmate in next room snoring insanely loud too! Dammit",christchurch,0
122,2013-05-20T10:40:24.000Z,"""
@LeagueUnlimited
 how many trys has  Kieran Foran saved tonight if manly hold on it will be thanks to him",christchurch,0
145,2013-05-20T19:37:27.000Z,"Another day, another dollar ",christchurch,0
179,2013-05-20T21:22:47.000Z,Today is not ideal for Ingress.,christchurch,0
180,2013-05-19T22:18:45.000Z,Buster (the cat) is a heat seeking missile today.,christchurch,0
181,2013-05-19T09:55:55.000Z,I have planted Kowhai & fuchsia to try & entice native birds into the yard. Looking for Bellbird & Silvereye. Less common…,christchurch,0
182,2013-05-19T22:02:53.000Z,Yay the 20th of the month! All contractors fist pump!,christchurch,0
183,2013-05-19T07:23:59.000Z,"With all the beckham and fergie news, don't forget 
@themichaelowen
 has his moment of glory and final day today #legend #thanks",christchurch,0
184,2013-05-19T23:47:54.000Z,Fail to see how the old Lyttleton tunnel was a masterpiece...,christchurch,0
185,2013-05-20T08:24:34.000Z,"Purchased and waiting for delivery! Thanks 
@paulie_muliaga
 for making guys feel confident about wearing pink briefs...sort of lol 
@JonsRaela",christchurch,0
186,2013-05-19T11:15:58.000Z,Smoking laws seem to have been relaxed in 2019.,christchurch,0
187,2013-05-19T06:46:48.000Z,Any decent IRC clients for iOS* out there?,christchurch,0
188,2013-05-19T11:17:59.000Z,Look forward to hot boxing my hover car on my 35th birthday in 2019. Hope I don't get retired by Harrison Ford tho.,christchurch,0
189,2013-05-19T07:17:09.000Z,Ha! Andre Vegas was in renters. Classic.,christchurch,0
190,2013-05-19T21:35:45.000Z,It's at this point on my morning walk to work that the icy water starts seeping into my shoes.,christchurch,0
191,2013-05-20T01:36:46.000Z,First CERA residential red zone workshop for those with challenges meeting settlement deadline - case by case extensions will be possible,christchurch,0
214,2013-05-19T22:08:00.000Z,Trying to be upbeat & positive all the time is a really draining experience.,christchurch,0
215,2013-05-19T04:01:39.000Z,"Told my grandfather I wanted him to take me hunting... his response: ""you couldn't hit a bull in the ass with a bass fiddle""",christchurch,0
216,2013-05-20T10:27:36.000Z,The good thing about my dad no longer drinking is that I can leave beers in his fridge with impunity.,christchurch,0
217,2013-05-20T02:58:29.000Z,"Enjoyed my extreme energy, climate change & peak oil talk @ Canterbury Uni. I love being able to present the global big picture energy story",christchurch,0
240,2013-05-20T20:31:40.000Z,"""
@PaulMiller
: 
@opendatacenter
 I’m still not sure #CloudFirst is a good idea. Cloud by merit, not by dictat! /cc 
@benkepes
"" agreed",christchurch,0
241,2013-05-19T02:09:44.000Z,"""
@fraying
: If Tumblr really is bought by Yahoo, pop some popcorn and buckle up. The freakout will be visible from space."" Blogger fodder",christchurch,0
275,2013-05-20T07:59:15.000Z,"It's so hard to get motivated at first to go to the gym, but it does get easier, that's when you run longer, and lift more... ",christchurch,0
0,2013-05-20T21:47:44.000Z,1 MORE DAY until the OFFICIAL RADIO RELEASE of my new single #Sweet which hits #CountryRadio & #iTunes TOMORROW!!!! #ILoveCountryMusic #RT,nashville,0
1,2013-05-20T17:31:07.000Z,"""I didn't say I liked it, Harry. I said it fascinated me. There is a great difference."" #DG",nashville,0
2,2013-05-20T16:36:37.000Z,When did Ann Taylor LOFT get cute? Is this a sign I'm getting old? #notsoforever21,nashville,0
3,2013-05-20T01:55:54.000Z,Oh my! What on earth is going on? The #Billboard Music Award show gave their performers too much sugar. That was a crowd surf fail!,nashville,0
4,2013-05-20T02:18:53.000Z,Can't believe Vokoun just allowed Ottawa to score short handed with only 28.6 seconds left! #what?! #stanleycup #playoffs2013,nashville,0
5,2013-05-20T15:42:22.000Z,Good strategy for Pacers to piss off LeBron. Even better for Heat fans. #teamheat,nashville,0
6,2013-05-20T04:05:00.000Z,"Sometimes it upsets me there isn't a bass emoji.. Only this thing 
. I want a bass.",nashville,0
7,2013-05-20T03:15:42.000Z,June 3 needs to get here quick. #TeenWolf,nashville,0
8,2013-05-20T16:19:25.000Z,"I like to think that if I were an identical twin, I would be the edgy twin with darker clothes and issues with the system. #nooneunderstands",nashville,0
18,2013-05-20T21:45:10.000Z,"Sitting in an airport bar listening to live music. Only in #Nashville. Post vacation depression 
@LoLoEmerson
 @JessicaMikaela3",nashville,0
19,2013-05-20T00:03:29.000Z,It's just been a chill day!,nashville,0
20,2013-05-20T07:42:06.000Z,Cassodeeodee is crazy as fruit.,nashville,0
21,2013-05-20T02:08:31.000Z,"I was asked why i bought a house. I replied "" bcuz i wana tell my wife one day follow your dreams dont just find a career fulfill a dream""",nashville,0
22,2013-05-19T16:46:26.000Z,"Graduation round 2. #letsdothis 
@Anna_Buchanan13
 @fort_richardson",nashville,0
23,2013-05-19T14:29:19.000Z,"Driving home from a stay in Nashville to  
@againforthewin
. It's a great start to the day. :)",nashville,0
24,2013-05-20T01:50:36.000Z,That poor girl that Miguel just fell onto #ouch #Billboardawards,nashville,0
25,2013-05-20T15:36:46.000Z,"It's funny when you see your Ex's or someone you used to talk to New BooThang , and all you can do is laugh. #Sale#Hurt#UglyMuthphucka",nashville,0
26,2013-05-20T18:18:47.000Z,Told myself I wasn't gonna eat any fried food this week...uhhhh I just ate fries. #confessionaltweet,nashville,0
27,2013-05-19T19:53:57.000Z,I do not understand the appeal of country,nashville,0
28,2013-05-19T22:57:49.000Z,"To all the ""farm bred country born country folk"" living in....Brentwood, I dont think McEwen is the back road Rodney Atkins is talking about",nashville,0
78,2013-05-20T21:58:24.000Z,Drake is playing at work. Come on down to Cracker Barrel Old Country Store - I'll take care of you.,nashville,0
79,2013-05-20T21:34:49.000Z,"Monty: ""You cut your hair."" 
Me: ""Yeah! Is that approval or..?""
Monty: ""Yeah, it works. I like it."" 
 Approval",nashville,0
80,2013-05-19T19:33:02.000Z,I am so glad I have friends that are as crazy as me ,nashville,0
81,2013-05-20T22:09:27.000Z,That feeling you get when you beat a level of Candy Crush after being stuck for what seems like a decade...yes. You know what I mean? No? Oh,nashville,0
82,2013-05-19T13:08:16.000Z,Both of my teams the Pacers and the Spurs and in the conference finals.  Lovin the playoffs this year,nashville,0
83,2013-05-20T15:28:06.000Z,I don't get to hang out with Kaina for another week.,nashville,0
84,2013-05-20T03:00:14.000Z,Sometimes I wish I could see my future.,nashville,0
85,2013-05-19T16:35:18.000Z,"Dear Humidity, 
Please stop killing me softly.
Sincerely,
Hair",nashville,0
86,2013-05-20T03:49:37.000Z,7U Dragons got 2nd in the 4th annual Steve McNair baseball tournament. Proud of my boys and I love coaching these kids.,nashville,0
87,2013-05-20T20:39:24.000Z,"I'm on a cotton candy kick right now, if it smells like cotton candy, tastes like cotton candy, or looks like cotton candy. I want it, NOW",nashville,0
88,2013-05-20T08:03:50.000Z,"BIGGEST FREAKS: Aries 
 Taurus 
 Gemini 
 Leo
 Virgo 
 Libra 
 Scorpio 
 Sagittarius 
 Capricorn 
 Aquarius 
 Pisces 
RT If You're One",nashville,0
89,2013-05-20T16:23:21.000Z,Well that was harder than expected... #failed,nashville,0
90,2013-05-20T00:41:42.000Z,"""She was just gettin' home from Panama City, she was all tanned up and my kind of pretty....."" #lyrics #currentsituation",nashville,0
112,2013-05-20T23:16:31.000Z,If Chuck Bass dies I refuse to watch Gossip Girl ever again.,nashville,0
113,2013-05-20T01:16:47.000Z,"I don't believe anyone could ever completely understand me, but I do think there's someone out there who could put up with me and enjoy it.",nashville,0
114,2013-05-20T19:28:38.000Z,Effective tanning is an act of self- discipline,nashville,0
115,2013-05-20T03:51:47.000Z,#objective13 thanks for a great evening lolling forward to prayer laughs and conversations tomorrow!,nashville,0
116,2013-05-20T02:05:04.000Z,"Just helped a random stranger get home. Ran out of gas on the side of the rd so I got him some gas and 30 bucks to get to savannah, ga",nashville,0
138,2013-05-20T23:19:08.000Z,Closing out yr 22 with an iced tea and some Brennan Manning alone at a coffee shop. Grateful for these days I can do whatever the h I want.,nashville,0
139,2013-05-20T01:42:26.000Z,"If you take a picture of you're legs in a bubble bath, I hope you drop your iPhone in the water",nashville,0
192,2013-05-20T18:50:01.000Z,48% of CMOs don't read their own customer reviews. Why not? They need better tools.  #smartercommerce,nashville,0
193,2013-05-20T01:46:41.000Z,It feels so great that's it's Sunday night and I'm not stressing about the homework I'm not going to do.,nashville,0
194,2013-05-20T21:41:44.000Z,"HAPPY NATIONAL BEST FRIEND DAY TO MY best friends! 
@turner_forcht12
 @tarney_11
 @graceemoore12 @Linds_Nance   #katie #Cammy love y'all 
.",nashville,0
195,2013-05-20T17:31:56.000Z,Not sure I've ever been more conflicted in my life.,nashville,0
196,2013-05-20T06:47:39.000Z,"Happiness don't drag it's feet, life moves faster than it seems ",nashville,0
197,2013-05-19T04:02:14.000Z,I mean I can't even get into a relationship lo lolol ,nashville,0
198,2013-05-20T15:23:57.000Z,Be so good they can't ignore you.,nashville,0
199,2013-05-20T09:22:24.000Z,AMBER Alert issued for an 8 year-old boy from Murfreesboro. I'll tell you who police say took him in 10min tune in! #nc5,nashville,0
200,2013-05-20T21:35:03.000Z,Need to start hittin the weights again,nashville,0
201,2013-05-20T23:04:16.000Z,#ParagonPlace/LunaHeights accident at ramp to harding place - on I 24 EB at TN-255 as reported by police #Nashville #traffic,nashville,0
202,2013-05-20T19:01:01.000Z,"""Hey now, this is my desire
Consume me like a fire, 'cause I just want something beautiful"" 
@NEEDTOBREATHE",nashville,0
203,2013-05-20T01:19:31.000Z,The Bobcats are changing their name back to the Hornets. Good thing I kept my old Starter jacket from 1991.,nashville,0
204,2013-05-20T01:39:12.000Z,"I have no memory of last night.

I tried drinking to help remember but nope nothing",nashville,0
205,2013-05-20T03:15:45.000Z,Seeing your friends achieve their goals is the best feeling ever #bbma,nashville,0
206,2013-05-20T21:27:59.000Z,6 weeks from today @voughtp and I will live in the same state again. #woot #bouttime,nashville,0
207,2013-05-20T10:41:25.000Z,#UPDATE 8y/o boy has been found safe in Smyrna. I'm working to get more details from PD. I'll have an update at 6am on #NC5,nashville,0
208,2013-05-20T21:43:58.000Z,#Tusculum closed due to accident on Haywood Ln between Hopedale and Nolensville Rd in #Southeast as reported by police #Nashville #traffic,nashville,0
209,2013-05-20T22:32:11.000Z,I'm legal! Watch for the blue Leaf with a blondie at the wheel!,nashville,0
231,2013-05-20T02:07:47.000Z,I got accepted for an edited collection on #Supernatural! Squees and margaritas are in order!,nashville,0
232,2013-05-20T23:54:30.000Z,"The 8yo checked out 8 nonfiction books at the library. And 1 ""non-nonfiction."" Translation for those of you who don't speak 8yo= fiction.",nashville,0
288,2013-05-20T21:53:10.000Z,"Yes, I'll take a table for 1 right in the middle of 24-E. No, I'm not meeting anyone. Yes, I will be here a while and I'd like a beer list.",nashville,0
289,2013-05-20T13:50:30.000Z,"Congrats to 
@TraceAdkins
 for being ""hired"" by the Donald Trump on 
@CelebApprentice
. You represent #Nashville so well.",nashville,0
290,2013-05-20T00:26:06.000Z,"Whoa 
@thebandperry
 just rocked the #BBMA. Powerful and flawless performance. 
@neilcperryiii
 @listentoDavis
 @jasonfitzmusic",nashville,0
291,2013-05-20T13:02:33.000Z,"I hate taking sick days when I'm actually sick. sick days are for the ""I just don't feel like working today""-kind of days.",nashville,0
292,2013-05-20T18:30:53.000Z,Hooray for Internet and fixed AC at the office on the same day!,nashville,0
293,2013-05-20T15:06:37.000Z,Excited! We got invited to attend the Indy 500! It will be my first!,nashville,0
294,2013-05-20T19:16:08.000Z,Anyone want to come swim?,nashville,0
295,2013-05-20T20:39:44.000Z,"Me: I made that pumpkin pie from scratch
Addeline: So you just scratched a lot?
Her friend: No! She used a ton of leftovers",nashville,0
296,2013-05-20T21:02:00.000Z,"So, Nashville.. Who wants to give me some affordable guitar lessons?! I need to pick it back up ASAP. ",nashville,0
297,2013-05-20T19:11:29.000Z,Can't stop listening to Kanye's new songs.,nashville,0
298,2013-05-20T20:40:08.000Z,I just bought a $100 dollar phone case. Ouch.,nashville,0
299,2013-05-20T23:33:48.000Z,"Beer drinking and braless with 
@mailemisajon
 @JaneSaid",nashville,0
