,date,contents,city,city_in_disaster
0,2020-12-24T17:49:03.000Z,"Lying in bed listening to soaking rain 
 that occasionally gets steadier, thinking that the Port Hills will be a lot less of a fire risk after the last week or so, and realising there’s plenty to be thankful for, despite the trials of 2020. Meri Kirihimete one and all ",christchurch,0
1,2020-12-25T05:42:28.000Z,"merry christmas to all my american babes, miss ya and love ya all xoxoxo",christchurch,0
2,2020-12-24T02:36:38.000Z,""" I hope we never find life on other planets because there's no doubt that the U.S. Government will start sending them money!"".Donald Trump",christchurch,0
3,2020-12-24T03:02:34.000Z,"Sweet, sweet justice after that terrible foul call on TT at the end of Celtics game.",christchurch,0
4,2020-12-24T03:59:39.000Z,"Why 
@radionz
 ? 4:58 on Christmas Eve, I turn on the radio and I’m out. #Whamageddon2020  Too cruel",christchurch,0
5,2020-12-24T21:24:15.000Z,Merry Christmas everyone :-),christchurch,0
6,2020-12-25T11:05:37.000Z,Kirk Cameron is a douche.,christchurch,0
7,2020-12-24T19:51:35.000Z,Lynx Africa shower pack on the cards for a coupley today I reckon. ,christchurch,0
8,2020-12-24T02:27:24.000Z,"ZL3RJ, ZL3RC, ZL3NW, & ZL3HAM all currently successfully working USA 
 & Mexico 
 on 6m, FT8. Early Christmas present for them.",christchurch,0
9,2020-12-25T23:42:41.000Z,In Christianity is historical accuracy or the symbolism more important?,christchurch,0
10,2020-12-24T19:31:54.000Z,Merry Christmas to everyone except fascists,christchurch,0
11,2020-12-25T19:07:16.000Z,"Do I have an extreme love for those who have never heard the Gospel? Jesus does.

“For the Son of Man came to seek and to save the lost” (Luke 19:10).",christchurch,0
12,2020-12-25T23:20:01.000Z,Boxing day sale ,christchurch,0
13,2020-12-24T04:25:33.000Z,why don’t we just play defence,christchurch,0
14,2020-12-24T18:54:35.000Z,Merry Christmas and I hope you all have a great Christmas day,christchurch,0
15,2020-12-24T09:44:51.000Z,"An ode to my cat:

Please
Just kill the mouse
Before you bring it inside
So that I don’t scream
When it runs over my foot",christchurch,0
16,2020-12-25T19:07:32.000Z,"Do I have an extreme love for and devotion to God? Jesus does.

“Very early in the morning, while it was still dark, Jesus got up, left the house and went off to a solitary place, where he prayed” (Mark 1:35).",christchurch,0
17,2020-12-24T20:57:45.000Z,"#openingday for me! #SecretSantaNZ2020
My Santa made a game of pass the parcel out of it, which added to the wonderfulness. Gifts for Constantine & Loki (handy because I forgot to pick up treats for them)...",christchurch,0
36,2020-12-25T09:50:23.000Z,"anyway i got a new screen protector for christmas so now i can take front-facing camera selfies again, watch out internet!",christchurch,0
37,2020-12-25T19:07:08.000Z,"When they came to the place called the Skull, they crucified him there, along with the criminals—one on his right, the other on his left. Jesus said, ‘Father, forgive them, for they do not know what they are doing.’ And they divided up his clothes by casting lots” (Luke 23:33-34)",christchurch,0
150,2020-12-24T11:17:28.000Z,"Merry Christmas, everyone ",christchurch,0
151,2020-12-24T21:58:41.000Z,Ah Christmas.. the one day of the year you hear from people you didn’t for the other 364 days ,christchurch,0
152,2020-12-25T02:00:55.000Z,After christmas lunch nap time,christchurch,0
