,date,contents,city,city_in_disaster
0,2019-03-17T06:00:55.000Z,I call on Gun City to take its signs down in Christchurch,christchurch,0
1,2019-03-17T11:55:26.000Z,Difficult circumstances can often unite people. #prayforchristchurch,christchurch,0
2,2019-03-16T03:56:31.000Z,"Why is it when you are behind schedule and need to make a build, new #bugs appear like some weird, wild possum-pokemon hybrid determined to ruin your day? #gamedev #programming #Unreal #wtf",christchurch,0
3,2019-03-17T20:26:33.000Z,My Twitter feed is filled with #ChristchurchShootings and #AfterLife a weird but somehow complementary mix...,christchurch,0
4,2019-03-16T02:04:11.000Z,"If you want daily gifts from Christchurch, New Zealand I have few friend spots open. Must open daily ! #PokemonGO",christchurch,0
5,2019-03-17T01:14:28.000Z,Sad ending of a good episode  #StarTrekDiscovery,christchurch,0
6,2019-03-17T04:14:00.000Z,"Tweeting from down under 
 #NZ",christchurch,0
7,2019-03-16T09:53:34.000Z,I’ve had a lot of hugs from strangers today,christchurch,0
8,2019-03-16T11:25:48.000Z,I feel really inspired to egg all the baddies now,christchurch,0
9,2019-03-16T01:55:57.000Z,Leafs win. But Babcock can’t be happy with how. #MapleLeafs,christchurch,0
10,2019-03-17T21:23:42.000Z,"Walked to the uni today & this is the first time everyone that I met smiled at me. EVERYONE.. 
 Abang yg naik skateboard pun sempat senyum masa lalu sebelah aku ",christchurch,0
11,2019-03-16T20:44:30.000Z,will forever be in pain,christchurch,0
12,2019-03-16T10:21:19.000Z,"Good leadership from 
@grantrobertson1
 on Air NZ Fares during this tragic time",christchurch,0
13,2019-03-16T05:51:34.000Z,"#YvieOddly is straight up a stirrer. I was watching #dragrace so I could escape for a moment, but this queen is so toxic. She did this last week too. Bruh.",christchurch,0
14,2019-03-16T01:16:55.000Z,"Interesting that sky in nz
Has pulled sky news australia
Due to chch coverage and replaces it with sports    good move",christchurch,0
15,2019-03-16T03:35:55.000Z,"I love being able to spot 
@_FraserThomas_
 every time i watch 
@ThisIs_Progress
  you can't miss that handsome face",christchurch,0
32,2019-03-16T07:22:16.000Z,Yo..THIS portion of my life.. I call it the pursuit of happiness.,christchurch,0
33,2019-03-17T06:02:37.000Z,"Anyone who rushed to buy semi-auto guns in response to promises of tighter gun control because of what happened in Christchurch should be put on a police and government watchlist. Immediately.

Any gun control bans should also be retroactive, with no tolerance for non-compliance.",christchurch,0
34,2019-03-16T19:44:21.000Z,"I am trying to just live life and be present and mindful of time with my family. Trying to focus of the positivity of my creative endeavor.

My brain won't shut up that my home has been attacked. 
I cannot comprehend, not really, what it must be like for Muslims in Chch now.",christchurch,0
54,2019-03-17T22:30:25.000Z,"I don't think I have any emotion left so I'm going to concentrate on art for a while, if the world will let me",christchurch,0
82,2019-03-16T09:27:04.000Z,One of my aunts has worked as a nurse in intensive care. She told me once that shock (everyone is different) is when the brain registers an event has taken place and the mind is yet to catch up. This describes where I am right now and possibly you as well. Aroha from Christchurch,christchurch,0
83,2019-03-16T02:29:36.000Z,"Jacinda Ardern: ""Our show of solidarity is just not in the here & now. NZ is a place that we cherish equally for its inclusiveness, for its diversity & I will consider it my personal mission as PM to defend that so long as I have the privilege of holding this office."" 
@abcnews",christchurch,0
84,2019-03-16T10:08:11.000Z,"I don't feel great about the #TheyAreUs thing...it feels like naming our Muslim community as 'they' reinforces othering ('them over there'), and that somehow 'we' have the power or authority to include/exclude. Or have I missed something?",christchurch,0
85,2019-03-16T02:51:22.000Z,I've got an assignment due next week and I've been looking at the same question for hours. Too much on my mind at the moment.,christchurch,0
