,date,contents,Disaster
0,2020-08-04T21:46:01.000Z,"ENOUGH
you do not go on the media to tell people they have darker days coming at their most vulnerable moments
You do not go on the media to make jokes about a traumatic experience that injured hundreds and thousands of people and made them lose their families/homes/friends",0
1,2020-08-04T20:37:03.000Z,"My father was 15 years old in 1975. He lived in Ein El Rememneh, Beirut (the capital of the Lebanese Civil War). Its 1990 and the war ended. The war ended? He picked himself up and started his career from scratch. (1/3)",0
2,2020-08-04T21:45:37.000Z,"Just got back home, passed by 5 blood banks with a couple of friends, all full with people donating blood, from Tripoli to Antelias.
Lebanese are good people,  they don't deserve this.",1
3,2020-08-04T17:42:13.000Z,"If anyone needs a place to stay 
My house in ain el remmeneh is open 
El dawle ma 3am tse3edna w ma elna 8er ba3ed at this point",1
4,2020-08-03T09:23:56.000Z,Will you still love me When I've got nothing but my aching soul?,0
5,2020-08-04T20:55:42.000Z,The blood is on the government’s hands,1
6,2020-08-04T19:00:39.000Z,"Don't just to pray for Lebanon.
Lebanese: Go donate blood if you fit the criteria.
Everyone else, please donate.",1
7,2020-08-04T17:55:40.000Z,"I feel really powerless 
I want to help in any way possible
I can't donate blood bcz i recently made a tattoo bass if anyone needs a ride in Beirut to any hospital please beje be5edkoun w bredkoun 3al bet just contact me",1
8,2020-08-04T20:19:43.000Z,i didn’t think i would live to see Lebanon turn into a worldwide trend for the most heartbreaking reason ,1
9,2020-08-04T16:53:18.000Z,"Checking in. Wounded but stable. To all the eds asking if I can work, answer is no",1
19,2020-08-04T19:48:52.000Z,"Lebanon needs emergency international relief 
@UNAction
 @antonioguterres",1
20,2020-08-04T18:39:04.000Z,The international community needs to step in and help Lebanon. This is now a case of simple humanity and empathy. #Lebanonexplosion,1
21,2020-08-04T16:30:58.000Z,Does anyone need a home tonight? Contact me,1
22,2020-08-04T21:25:27.000Z,Exhausted.,0
23,2020-08-04T17:58:45.000Z,Beirut’s hospitals are at full capacity.,1
24,2020-08-04T20:09:48.000Z,"Seeing the devestation tonight is overwhelming. Praying for families across #Lebanon caring for their loved ones. Thoughts are with the first responders , Red Cross, and medical workers doing all they can to save lives this evening. #BeirutExplosion",1
25,2020-08-04T22:31:01.000Z,"Horrific day! All our thoughts go to 
@RedCrossLebanon
 paramedics & volunteers who have been evacuating the injured by #LebanonExplosion. Proud of each & everyone of you. We stand with you & with the Lebanese people during this difficult time. 
@IFRC_MENA
 allocated funds in support",1
26,2020-08-04T20:49:23.000Z,Beirut declared a city in a state of emergency. Tomorrow declared a national day of mourning.   Okay. And then? Accountability? And how to compensate for the billions lost when the country is bankrupt already?,1
27,2020-08-04T20:00:39.000Z,Dear AUB community AUBMC is in need of blood from all types If you are close and can donate please proceed to the lab in the medical center,1
28,2020-08-04T18:26:56.000Z,"Thanks to all my friends who called me from many countries and from my work clients and suppliers even from Far East countries
 when they ask me why I love all my friends 
 I wish safety to all friends and families and praying for dead’s souls #بيروت #لبنان",0
47,2020-08-04T18:46:54.000Z,The explosion was felt 180 km away- in Cyprus. .... and in Lebanon - Unknown dead. Thousands (more than 2500) wounded. Our only port destroyed.  More than a catastrophe,1
48,2020-08-04T23:38:46.000Z,"It was a tough night here in #Beirut . We took care of more than 500 injured 
@LAUMCRH
 . There were casualties. The ED looked like a scene in a war movie, a horrible one... Our hospital is destroyed. It is a sad night... Tomorrow should be a better day...",1
49,2020-08-04T16:22:16.000Z,"We're organizing an emergency blood drive.

If you can donate blood, please pm me with your number and area. 

If you need blood, let us know to help find a match.

We're in this together. ",1
50,2020-08-04T20:18:00.000Z,2700 tons of ammonium. Who is responsible for their improper storage? And who is responsible for their criminal incompetence? It seems that incompetence and corruption are a weapon of mass destruction. #BeirutExplosion,1
51,2020-08-04T18:51:42.000Z,Minister of Health: around 2500 injured and 30 deaths as of now. Our condolences to their families and our hopes for speedy recoveries ,1
52,2020-08-04T18:58:09.000Z,"Hey world
Lebanon is not okay
But we, the people, are fine... we have the best medical and rescue teams in the world.
Pray for #beirut ",0
53,2020-08-03T17:24:47.000Z,Tweeps here bully tiktokers then get mad when NekatLebanese does the bullying. Make it make sense.,0
54,2020-08-04T18:33:39.000Z,"We can't cry anymore
#Lebanon",0
71,2020-08-04T18:14:12.000Z,"My heart is broken!
#بيروت",0
72,2020-08-04T21:25:08.000Z,"These people currently stable in AUBMC: Olga Feghali, Amar Itani, Joe Chikhani, Liliane Shayto, Zeina Chamoun, Mouhiba Bou Fakhreddine, John (or Joan) Tamer - hope their families see this and are comforted on this terrible night.",1
73,2020-08-03T19:23:07.000Z,People will quit on you. You gotta get up everyday and make sure you never quit on yourself,0
74,2020-08-04T17:53:32.000Z,"i love you, Beirut",0
75,2020-08-04T16:53:40.000Z,Our hearts are broken. How much more can we take? How much more can we handle? GO TO IRAN AND FIGHT YOUR WAR FROM THERE. THIS IS NOT YOUR LAND. THIS IS OUR #LEBANON.,1
76,2020-08-04T16:50:54.000Z,Don’t try to lie to us and say it’s a “fireworks” warehouse. Leave us the fuck alone. What more do you want? What more can this country give for a cause that’s not ours and we want nothing to do with! #Lebanon #Beirut,1
77,2020-08-04T16:22:55.000Z,Beirut ,0
78,2020-08-04T19:05:38.000Z,Its ok to cry my friends,0
79,2020-08-03T07:44:52.000Z,A part of me doesn’t wanna quit my family again,0
80,2020-08-04T19:45:18.000Z,I am so thankful for the kind messages I received this evening. Thank you all for caring ,0
81,2020-08-04T15:58:58.000Z,"BREAKING: A ship carrying fireworks caused today's massive Beirut, Lebanon explosion, an official says. There are reportedly 'hundreds' of injuries. #بيروت",1
104,2020-08-04T18:04:51.000Z,"My country needs a break from bleeding
 #prayforbeirut",1
