,date,contents,Disaster
0,2021-02-16T14:28:23.000Z,Our hearts go out to all those affected by last night's tornado in Brunswick County ,1
1,2021-02-16T00:16:50.000Z,"It's cliché. But I think I might start a podcast, like people keep telling me to do.",0
2,2021-02-15T04:27:35.000Z,I need a spanking or a life coach or someone who can do both,0
3,2021-02-15T02:42:30.000Z,"everybody looked so good and happy today 
 tl filled with pretty ass mfs",0
4,2021-02-15T02:28:37.000Z,"happy valentines day to all my neopets I left behind, you are LOVED ",0
5,2021-02-15T04:11:39.000Z,"Manifesting:

2021 will be the year that Taylor finally notices me. ",0
6,2021-02-15T18:05:04.000Z,"Totally forgot to announce my giveaway winner yesterday 
 ANNOUNCING IN A FEW",0
7,2021-02-16T13:00:20.000Z,"In a fantastic mood this morning, then I come to work and everyone is being pissy. Fucking great.",0
8,2021-02-16T13:54:48.000Z,"Let this be our prayer:

God, let me slow down today. Help me to rest and remain. Open my eyes to Your will and Your ways. May I be courageous and bold by walking in faith. Remind me that Your love fuels my love for others. In Your name, Jesus. Amen.",0
9,2021-02-15T14:43:14.000Z,"good morning loves! drink some water, eat something yummy, TODAY IS GONNA BE GOOD.",0
10,2021-02-16T12:39:34.000Z,Woke up this morning to a notification that Exam 1 is today. I started to panic for a min until I realized it's my exam and I'm the professor. I'm not a morning person. #coffeeislife,0
11,2021-02-15T03:43:14.000Z,"I downloaded bumble today, if anyone was wondering how my Valentine’s Day is going",0
23,2021-02-16T02:03:03.000Z,"Watching #TyBreaker with 
@typennington
 @sabrinasoto
 on 
@hgtv
 always love Monday nights",0
24,2021-02-16T03:06:21.000Z,as someone who continually encourages my students to ask for extensions when they need them I’m horrendous at asking for extensions when I need them BC I DONT OFFER MYSELF THE SAME GRACE AND FOR WHAAAAT,0
25,2021-02-16T05:06:58.000Z,Thunderstorms,0
26,2021-02-16T12:17:28.000Z,"I wake up at 4:30am for work and this morning when I was in the bathroom getting ready ariana made me coffee, breakfast, and packed me a lunch for the day ",0
27,2021-02-16T11:43:13.000Z,"good morning all!!! I’m making breakfast right now and getting ready for work! I went to sleep a little early last night so I could feel 
refreshed",0
28,2021-02-16T10:36:52.000Z,"When folks start to take advantage of my kindness, I will cut you off with a quickness ",0
29,2021-02-16T16:17:55.000Z,"Thankful for all the prayers and support in light of the devastation from the tornado. Even more thankful that all of our students and their families are safe and accounted for. 
 #BCStrong 
@DrBevREmory
 @CTruittNCDPI
 @ncsupers
 @DeputySupTaylor
 @cedmnds88",1
30,2021-02-16T11:43:36.000Z,I had such a weird dream BUT I DONT REMEMBER IT REALLY BUT THE PLOT SEEMED SO COOL IM UPSET,0
47,2021-02-16T07:18:04.000Z,anyways ass fat confirmed,0
48,2021-02-16T15:44:01.000Z,why the fuck would i go above and beyond for a 6 billion dollar company that pays me $8 an hour,0
49,2021-02-16T18:18:41.000Z,"the sadness is heavy today friends, I haven’t had a day like this in weeks and I’m!!! so!!!! frustrated!!!! why is being a person so hard sometimes",0
50,2021-02-16T02:26:11.000Z,"If you always buy the cheapest medical equipment for your #EMS or #CCT system, what does it say about the investment in team members!? when you buy the right quality equipment to do the job you invest in your team & your team’s investment in the program likewise grows!",0
51,2021-02-15T14:35:49.000Z," Manifesting 
2021 will be the year that Taylor finally notices me. ",0
52,2021-02-16T20:54:49.000Z,conceited ≠ confident,0
53,2021-02-16T21:11:07.000Z,Mo scores.. yes!,0
54,2021-02-16T20:56:43.000Z,Thought about wearing shorts to work. Realized I haven’t shaved my legs the entire month of February. No longer wearing shorts to work.,0
55,2021-02-16T03:29:23.000Z,When I’m in a bad mood I’ll distance myself I don’t want my energy to rub off on people..,0
56,2021-02-16T02:46:48.000Z,"A month ago we set before our congregation the availability of pursuing equipping through #GOCertificates 
@sebts
. I am so excited that we now have 5 members engaged in this program and several more who will begin in the next few weeks! Our church will benefit, so can yours!",0
57,2021-02-16T00:52:31.000Z,"As a writer with chronic illness, I want more discussion about what it’s like to pursue this career while facing health challenges. Time is so different for us, and three days out of commission due to flares, hospital visits, etc. can really be a setback.",0
58,2021-02-16T01:21:31.000Z,People want this magic elixir in building a program or a team. Key in football will forever come down to the toughness and togetherness of your team and you build that in the wt room and on the practice field. Cant help but feel robbed of that by COVID. But we are getting there.,0
59,2021-02-15T19:17:11.000Z,"I got the dolly parton vaccine, the one she funded, thank you miss dolly",0
68,2021-02-15T14:34:16.000Z,"I love 
@taylorswift13
. That’s it. That’s the tweet. ",0
69,2021-02-16T19:37:36.000Z,"Randomly reflecting on how odd the concept of the course buy-out is in academe. If one part of my university wanted me to work on an important project and I needed to reduce the courses I teach to do that project, the unit would need to pay my college for that time.",0
70,2021-02-16T02:44:25.000Z,a bitch is sad but still in my bag,0
71,2021-02-16T02:21:52.000Z,Listening to Taylor Swift and drafting a motion to compel.  Peak litigation life.,0
72,2021-02-16T20:10:55.000Z,I knew I'd see him today ,0
73,2021-02-16T18:44:24.000Z,"A new #NintendoDirect is announced. It will contain info about games scheduled to release during the first half of 2021.
Everyone: OMG, they're gonna announce the release dates for botw 2 and 3 
 I hope Metroid prime 4 is released tomorrow!!! ",0
74,2021-02-15T07:44:58.000Z,I just wanna roam through the streets of Japan again ,0
75,2021-02-15T17:36:41.000Z,"Y'all upset about a Biggie documentary coming to Netflix?! That's sad. You ain't gotta watch it, ya know.",0
76,2021-02-16T05:11:23.000Z,Structural damage and power lines down along Highway 17 near Highway 904 in the Grissettown area (Brunswick County). Avoid the area. #ncwx #ILMwx,1
77,2021-02-15T03:41:14.000Z,I’ve been up since 4am GOODNIGHT,0
78,2021-02-16T17:49:54.000Z,"The weather is so nice today 
 wish it would stay this way",0
79,2021-02-15T22:52:52.000Z,"my boss set up a meeting with me & titled it “Jose V.D.L”

and it took me 5 minutes of panic until i realized “V.D.L” was my initials 

i thought i was being fired lmaooo",0
80,2021-02-16T15:16:10.000Z,thought this week was gonna be chill till my classes decided to jump me,0
81,2021-02-15T04:30:09.000Z,I just remembered I still ain't get no stimmy,0
82,2021-02-16T14:51:21.000Z,Asking for prayers for the people involved in the tornado in middle part of Brunswick co nc lastnight me or my family was not involved I live in the southern part  and family in northern part,1
83,2021-02-16T06:53:52.000Z,"Severe weather threat is diminishing. We're getting lots of damage reports and 
@WilmingtonFD
 is assisting with locating missing persons in Brunswick county. We got on air ASAP and hopefully saved lives tonight. Nighttime tornadoes are so dangerous, I pray everyone is okay.",1
84,2021-02-16T19:32:55.000Z,sat outside for 30 mins and my skin is red. i need summer right now even if i’ll be by myself everyday. i’d rather be at the beach alone than sitting in my room alone.,0
85,2021-02-16T12:14:12.000Z,Thinking about the vault songs on Speak Now has me ,0
86,2021-02-15T18:14:44.000Z,don't even talk to me before i've had my morning six pork buns,0
87,2021-02-16T19:19:03.000Z,"ok i got covid vaccine #1 yesterday (moderna) and here is my status report:
-SORE arm oh my god is it sore
-bump where i got injection
-slight ""fever"" today (98.9-99.4 is the range of all my checks today) 
-back/shoulders have muscle ache feeling but that might just be me :P",0
88,2021-02-16T18:54:34.000Z,I got a new skirt and its 70⁰ outside oooo baby,0
89,2021-02-16T02:41:46.000Z,"living alone really removed a lot of the guilt I had around food, and also there’s a wild freedom that comes with choosing not to have a scale in my apartment. I have to pay attention to how I’m feeling and not numbers and I wish I could tell my younger self it gets easier",0
109,2021-02-16T16:10:38.000Z,"All our different days are somehow gathered into and redeemed in the one true day: Easter itself.

- Malcolm Guite (
@malcolmguite
) “The Word in the Wilderness”",0
110,2021-02-16T13:45:54.000Z,"My covid test was negative, huzzah!",0
111,2021-02-16T15:42:03.000Z,"Hey Everyone quick update! Looks like beginning of March my channel will back in full Force! I'll be settled in my Apartment and the studio will be finished. I have a lot of games to talk about. Should I make one long episode of ""Play N Tell"" or break it into 2 episodes?",0
112,2021-02-15T03:15:24.000Z,Cause love always blows up in my face,0
113,2021-02-16T18:57:24.000Z,"""I've got a plan. I wrote it down on paper.""",0
127,2021-02-16T13:41:19.000Z,I asked my sister what he aesthetic is and she said “aesthetic? Idk I’m awesome” LOL what,0
128,2021-02-15T21:10:45.000Z,My best friends are so different from me it’s funny.,0
129,2021-02-16T17:17:42.000Z,and today I’ve got a migraine from hell,0
130,2021-02-16T06:34:43.000Z,Goodnight ,0
131,2021-02-16T10:43:27.000Z,IT’S FAT TUESDAY ,0
132,2021-02-16T19:10:29.000Z,"I took a walk with my dog & baby and am now eating fruit outside w my baby 
 we love a sunny day",0
133,2021-02-16T12:13:03.000Z,"I love 
@taylorswift13
 so much. ",0
134,2021-02-15T21:43:33.000Z,Would love to read about the origins of states that operate separate community and technical college systems. Or I guess what led to differentiation of technical from other colleges and what justifies the differentiation today.,0
135,2021-02-16T06:25:24.000Z,"Now here he comes bringing me cookies like all is well. I'm going to eat them of course, but still ",0
136,2021-02-16T16:15:59.000Z,I want to live inside of august.,0
137,2021-02-16T19:52:05.000Z,im going to sound insane but when i have a fever i can feel it in my ears?,0
138,2021-02-16T06:06:08.000Z,I could cry right now,0
139,2021-02-16T18:17:54.000Z,"Been secretly wishing for a snow practice, However I will 100% take this sunshine, and warm 70 degree practice coming up.",0
140,2021-02-15T04:15:11.000Z,I just can't imagine spending my time scrolling around twitter looking for a fight.,0
141,2021-02-16T15:33:54.000Z,"So, what I’m taking away from this so far is that all babies are made by Bella Lugosi in a lab.  #uncwlgbtfilm",0
142,2021-02-16T18:48:15.000Z,"i know i did not just spend $37 to fill up my tank, ima conservative now i stg",0
143,2021-02-15T22:50:51.000Z,There's not a man in this world besides my oldest son and my Branch manager that knows how much I make because why would I even???,0
144,2021-02-16T19:15:56.000Z,Ion be wantin to cheat for real it’s just I don’t know... I miss my grandma ,0
145,2021-02-16T19:14:03.000Z,Idgaf What I Did I’m Not Turning Myself In......that just never sit right with me,0
146,2021-02-16T06:12:53.000Z,If anyone ever made a tiktok edit of me I could die happy,0
147,2021-02-16T17:33:17.000Z,"UPDATES FOR THE WEEK
TONIGHTS GAME VS ASHLEY HS rescheduled for 
Thursday 2/18 6:00 PM

Wednesday 2/17 vs New Hanover (SR Night) 6:00 PM

Friday 2/19 at West Brunswick 5:00 PM

#GoCougars",0
148,2021-02-16T18:50:01.000Z,I'm glad somebody said it,0
149,2021-02-15T16:38:49.000Z,Doctor just asked me if I smoked and before I stopped myself I asked “smoke what” in front of my parents. Sick.,0
150,2021-02-16T13:49:35.000Z,#IBelieveInAnthem Such a great concept for a game- and it would be awesome to have another looter in the vein of Destiny,0
151,2021-02-16T15:53:12.000Z,This script! I recognize words forming sentences... but I’m struggling to find meaning in a lot of them. #uncwlgbtfilm,0
152,2021-02-15T03:54:32.000Z,First V day single since prob 2016 ,0
153,2021-02-15T03:09:49.000Z,The next valentines day when I’m actually in a relationship is the day someone gets the best valentines day of their life,0
154,2021-02-16T15:30:39.000Z,"Lord, Your kindness leads me to repentance into the heart of God",0
155,2021-02-16T15:01:14.000Z,can't sleep!:<,0
156,2021-02-16T18:20:08.000Z,Literally manifested a covid scare by saying I wish I could have one so now I can sit at home. And now I am sitting at home happy.,0
157,2021-02-16T10:20:59.000Z,"today makes 10 years the coolest, sickest, mother figure in my life took hers. I remember the day I found out like it was yesterday. And wow while typing this I’m realizing how much of me still hurts from it. 
I love you aunt Becky ",0
158,2021-02-15T07:09:56.000Z,The day after Valentine’s is the best because all the chocolate is discounted.,0
159,2021-02-15T03:26:26.000Z,My biggest inner conflict atm is trying to decide if I should be in a sorority or not,0
160,2021-02-15T21:10:28.000Z,"Next, a James Baldwin documentary ",0
161,2021-02-15T23:53:16.000Z,"Spilled a large cup of water all over my computer for the second time in my college career. Got homework, zooms & internship shit to work on but no computer. Questioning everything. Is there a purpose. Will I get high and eat everything in sight to cope.",0
162,2021-02-16T13:22:55.000Z,Oh my gosh it’s -18° F rn ,0
163,2021-02-15T06:50:25.000Z,"Serena Williams’ outfit for the Australian open. That’s it, that’s the tweet",0
164,2021-02-16T10:55:10.000Z,I hope that rug keeps you warm ,0
165,2021-02-16T16:54:19.000Z,Lowkey missing mw comp season,0
166,2021-02-16T15:30:10.000Z,"The random wind sound effect. 
 #uncwlgbtfilm",0
167,2021-02-16T17:37:02.000Z,remember when hayley williams mailed me a leg,0
168,2021-02-16T19:46:11.000Z,"Yeah, you can tell my guys what to do but at the end of the day I’m holding the leash",0
169,2021-02-16T17:09:12.000Z,Tomorrow is a big day for me and I am so blessed ,0
170,2021-02-15T20:33:57.000Z,"The joy of working on a holiday is unmatched. No issues, no noisy chats, etc. I can actually focus on my work. 

I am moving my holiday to a noisy day to truly enjoy it!
#swe #holiday #sre",0
171,2021-02-16T06:10:38.000Z,cherry wine by hozier and da rain <3,0
172,2021-02-16T04:11:04.000Z,"MANIFESTING (when it’s safe): 
                    
      
                                     
                  I WILL MEET
        
     TAYLOR         
                   I WILL MEET 
           
   TAYLOR        
                           ",0
187,2021-02-16T18:26:32.000Z,"Okay, #NerdAlert — I was listening to “Through the Fire & Flames” by DragonForce on my way to work & had a decent idea for an RPG character pop into my head!",0
188,2021-02-16T20:38:46.000Z,It be the plucking and edges for me when I do my own wig ,0
189,2021-02-16T07:05:31.000Z,going to get new deck and trucks soon i deserve it,0
190,2021-02-16T12:37:03.000Z,Spoon feeding llaina mashed potatoes through her tears after she got her wisdom teeth out is when I realized how deep I am in this love stuff.,0
191,2021-02-16T17:08:58.000Z,The weather outside is perfect ,0
192,2021-02-15T22:37:07.000Z,when am i gonna look back at pictures of myself and think i'm hot instead of cringing,0
193,2021-02-16T16:11:21.000Z,"Manifesting:

2021 will be the year that 
@taylorswift13
 finally notices me. ",0
194,2021-02-15T03:02:14.000Z,"Night cap 
  ",0
195,2021-02-15T19:28:20.000Z,My next tweets will be to show some things of my country festivities of these days ,0
196,2021-02-16T16:11:12.000Z,I genuinely can’t tell if these sofa scenes are more found footage or it they were shot for the film.  #uncwlgbtfilm,0
197,2021-02-16T15:12:11.000Z,"Now media is saying teams will be contenders w/ Carson Wentz 
 make up your mind!",0
198,2021-02-15T00:54:26.000Z,"Team 
@MensahTamStock
 was full of hammers and they sure went out and put on a show but team 
@_VFran_
  and showed us there is a VERY bright future for women’s wrestling!!",0
199,2021-02-16T15:58:52.000Z,That kitchen set is amazing. #uncwlgbtfilm,0
200,2021-02-16T19:08:12.000Z,"Got Madelyn’s grandma a appointment to get her 1st round of vaccine, and I’m so happy.",0
201,2021-02-16T15:55:43.000Z,"I remember the superimposition of stampeding buffalo over Bela’s “pull the strings” line from Tim Burton’s ED WOOD, but in context... um... what?!? #uncwlgbtfilm",0
202,2021-02-16T13:11:51.000Z,"Yall, pray for our friends in Ocean Isle Beach, NC. Tornado lastnight killed 3. It is a very rural area. They are still looking for people down there.",1
203,2021-02-16T00:37:19.000Z,I do not miss having roommates but damn I miss splitting the bills with someone,0
207,2021-02-16T13:57:28.000Z,I love the new iPhone update that lets you ignore phone calls without having to wait until the other person is done with their call,0
208,2021-02-15T19:58:01.000Z,SCHEDULE ALERT ****We have a schedule change for the game vs Louisburg Wednesday the 17th. BCC vs Louisburg game has been switched to Ripken Center at 12:30 immediately followed by a game with Florence Darlington Tech. Please note these game time changes. #rollfins #1296 ,0
209,2021-02-15T20:17:32.000Z,"Never would of though fitness would become my main hobby. Yet here I am doing a home workout on a night off from training. Even after posting this morning for An EC ruck and F3 post.
 #Motivated #f3counts #selfcare",0
210,2021-02-16T20:32:25.000Z,Anyone wanna read a poem I wrote for my poetry 1 class? ,0
211,2021-02-16T15:21:46.000Z,ran a mile this morning I Am Going To Throw Up,0
212,2021-02-16T15:49:37.000Z,I’m reminded about our conversation about whether any representation is better than no representation at all. We may need to revisit that. #uncwlgbtfilm,0
213,2021-02-16T05:45:54.000Z,"One chapter left, and of course it's the fucking heart of the work and of course it's the most merciless dreams of my marriage...",0
214,2021-02-16T14:54:36.000Z,Purpose in the present,0
215,2021-02-16T12:05:06.000Z,"Luke 19:10 CSB
“For the Son of Man has come to seek and to save the lost.""
Lost people matter to God, so they must matter to us! Praying for laborers for the harvest this morning  and faithfulness among the saints to make disciples.",0
216,2021-02-16T18:01:41.000Z,i am a very beautiful young lady,0
217,2021-02-16T17:15:57.000Z,Today I am thankful for this warm weather and for just being alive today to experience it,0
218,2021-02-15T03:22:26.000Z,Every emoji I use i started out using ironically and somewhere along the line it stopped being ironic,0
219,2021-02-16T20:05:44.000Z,"The work of education is learning. The purpose of education is for each young person to discover who they are, their unique gifts and how to contribute those gifts meaningfully to the world. 
@EdReimagined",0
220,2021-02-16T19:27:54.000Z,"And the way I retreat and ignore other humans, it wouldn't be hard. But men gotta be men, ya know ",0
221,2021-02-16T18:12:57.000Z,it’s 70 & sunny rn ,0
222,2021-02-16T15:37:02.000Z,Linguistics class is the highlight of my Tuesdays & Thursdays mornings.,0
223,2021-02-16T14:38:00.000Z,I just wanna do music videos all month,0
224,2021-02-15T01:55:05.000Z,"AuthorMBTosi: Great RTs, mentions 
@ChocoCaramel123
 @literatureposts
 @HistoryInbooks
 @BrassWeb
 @PatWahlerAuthor
 @AuthorDavidSix
 @tiffeejasso
 @OkroguLes
 @trueblue0080
 @margaretjud149
 @wgevans
 @kimber_silver21
 @elms_JE
 @jmswordsmith
 @DianaMSharpton
 @WoggyPixie
 @DanGlover1
 @Wick
…",0
225,2021-02-16T02:52:26.000Z,"We don’t have little kids in the house anymore, but we’ve got the dogs to understand what “Disney” means when they hear it. Their love of animated movies is so pure. ",0
226,2021-02-15T03:11:20.000Z,Quite literally always horny,0
227,2021-02-16T16:05:45.000Z,How kind of them to invite Satan to the wedding! #uncwlgbtfilm,0
228,2021-02-15T22:49:28.000Z,"In order to appreciate the blessings God brings into your life, you have to remove yourself from all of the negative distractions.",0
229,2021-02-16T13:12:29.000Z,OMG the sun's out. It's so beautiful I'm about to cry. Of course there was a deadly tornado just south of here that I'm about to read about......,1
230,2021-02-16T13:52:32.000Z,I want to live inside of august.,0
231,2021-02-16T13:44:21.000Z,"Our Lacrosse games with 
@athletics_sbhs
 have been moved from Thursday to Wednesday. Men at 5:00, Women at 7:15. Both games are at Hoggard.",0
232,2021-02-16T17:19:49.000Z,"You know I thought about tweeting how hype I am tomorrow for a 50 minute direct but I’ve been beaten to the punch so all I’m gonna say is the fighter I want, and that is super monkey from BTD6",0
233,2021-02-16T17:02:49.000Z,Why do all of my favorite anime characters die....,0
248,2021-02-15T17:44:19.000Z,Good luck to the Varsity Soccer team as they host South today at home! Game starts at 4:00 #gotrojans,0
249,2021-02-16T15:02:33.000Z,I’m still the same female that had a master mind charge plus 13 felonies! Stop playing with me,0
250,2021-02-16T15:41:23.000Z,"Okay, I’m dead. These voiceovers!
#uncwlgbtfilm",0
251,2021-02-16T15:01:39.000Z,"They came up with the concept of Mint City because the primary objective of 
@CharlotteFC
 is printing money. #ChaChing",0
252,2021-02-15T13:16:42.000Z,Losing power during an ice storm doesn't sound stressful at all.......I am really feeling for these people.,1
253,2021-02-15T23:01:22.000Z,Y'all disrespectful as hell,0
