,date,contents,Disaster
0,2020-12-25T15:41:14.000Z,This Sunday has to be for the City #Titans,
1,2020-12-25T21:11:54.000Z,"Thank you to 
@MNPDNashville
 and 
@NashvilleFD
 for your extra hard work today and the days to come.",
2,2020-12-25T05:46:07.000Z,This carti album is the cyberpunk of music,
3,2020-12-25T16:10:06.000Z,A Christmas Bombing? Yeah 2020 not letting up,1
4,2020-12-25T16:51:07.000Z,"If you lived in Nashville in 2020, you may be entitled to financial compensation. Good lord.",1
5,2020-12-25T14:47:19.000Z,Three people transported to hospital from explosion so far. Police had their Hazardous Device Unit on the way to check the suspicious RV out when it exploded.,1
6,2020-12-25T16:26:59.000Z,The images from the 2nd Ave explosion are horrifying. Stay safe today,1
7,2020-12-24T03:57:07.000Z,House of Payne love dragging a scene out for 3 years,
8,2020-12-25T07:51:43.000Z,Not my baby cousin complaining on the gifts Santa got  her when she had 12 boxes under the tree during a pandemic.... I always said I wouldn’t spank my kids but I understand the temptation.,
9,2020-12-25T22:30:28.000Z,Merry Christmas everyone!,
10,2020-12-25T15:36:33.000Z,God please be with Nashville and anyone effected or harmed. Please bring this country peace to end this crazy year.,1
11,2020-12-25T16:50:15.000Z,You already know when your parents hit you with the “wait I gotta go grab your last present” it’s finna be DANK,
12,2020-12-25T03:29:41.000Z,"Someone up there knew I needed some snow flurries on #ChristmasEve2020 after this year. 
 ",
13,2020-12-25T18:58:22.000Z,Word on the street it was mud,
14,2020-12-25T21:44:38.000Z,Not me still slingin lattes during a literal terrorist attack this morning ,1
27,2020-12-25T21:46:27.000Z,"Hey all, I’m totally safe but the explosion in Nashville today apparently is affecting cell service, so if you’ve tried to call or text for any reason and can’t get me, that’s why. Anywho murry chrimbus",1
28,2020-12-25T18:20:13.000Z,"Is anybody else extremely disturbed by what happened in Nashville today? Like merry Christmas y’all, but I can’t really think about anything else.",1
29,2020-12-25T16:06:24.000Z,I’ve been getting a lot of texts and calls his morning so I’m just going to let everyone know that yes I felt the explosion (I’m only a few miles away) and yes I’m okay. I’m shocked and saddened to see this happen to my city #nashvillestrong,1
30,2020-12-25T16:35:58.000Z,Grown up Christmas is so fun...4th mimosa down :),
31,2020-12-24T04:00:59.000Z,the dangerous summer really had it when they put out reach for the sun. truly an album I can listen to front to back 11 years later,
32,2020-12-25T13:15:43.000Z,"JESUS IS THE 
#MerryChristmas",
33,2020-12-25T13:42:51.000Z,Heavy police and fire presence and large scale damage reported following an explosion in Downtown Nashville that seemed to originate from an RV. No injuries have been reported.,1
34,2020-12-25T22:36:32.000Z,A friend just left chocolate cake on my doorstep and I'm not mad about it.,
35,2020-12-25T23:48:27.000Z,"We were spared any damage from the #nashvillebombing. We live about 1/2 mile from there. We have lost internet, TV & cell service, so we have no contact with the outside world. We just drove to a coffee shop, parked in front & got WIFI. Is this real life? Merry Christmas!",1
36,2020-12-25T18:53:54.000Z,Sad scene in our wonderful downtown. BUT..... I have no doubt we will be #nashvillestrong,1
